"","Dine","Share","Type","Date"
"115","素馅饼",2,"晚餐","2015-03-16"
"116","西红柿鸡蛋面",2,"午餐","2015-03-16"
"117","西红柿鸡蛋面",2,"午餐","2015-03-11"
"118","大米(小)",2,"午餐","2015-03-10"
"119","西红柿炒鸡蛋(套)",2,"午餐","2015-03-10"
"120","手撕包菜(套)",2,"午餐","2015-03-10"
"121","西红柿炒鸡蛋(套)",2,"午餐","2015-02-06"
"122","尖椒肉丝(套)",2,"午餐","2015-02-06"
"123","大米(小)",2,"午餐","2015-02-06"
"124","绿豆小米粥",2,"晚餐","2015-02-04"
"125","素馅饼",2,"晚餐","2015-02-04"
"126","大米(小)",2,"午餐","2015-02-04"
"127","尖椒肉丝(套)",2,"午餐","2015-02-04"
"128","手撕包菜(套)",2,"午餐","2015-02-04"
"129","素馅饼",2,"晚餐","2015-02-03"
"130","绿豆小米粥",2,"晚餐","2015-02-03"
"131","大米(小)",2,"午餐","2015-02-03"
"132","腐竹烧肉(套)",2,"午餐","2015-02-03"
"133","酸辣茄条(套)",2,"午餐","2015-02-03"
"134","西红柿炒鸡蛋(套)",2,"午餐","2015-02-03"
"135","酸辣茄条(套)",2,"午餐","2015-02-03"
"136","大米(小)",2,"午餐","2015-02-03"
"137","西红柿鸡蛋面",2,"晚餐","2015-02-02"
"138","西红柿鸡蛋面",2,"午餐","2015-02-02"
"139","夹土豆条肉丝饼",2,"晚餐","2015-01-30"
"140","绿豆小米粥",2,"晚餐","2015-01-29"
"141","夹火腿饼",2,"晚餐","2015-01-29"
"142","大米(小)",2,"午餐","2015-01-29"
"143","尖椒肉丝(套)",2,"午餐","2015-01-29"
"144","皮蛋瘦肉粥",2,"晚餐","2015-01-28"
"145","素馅饼",2,"晚餐","2015-01-28"
"146","大米(小)",2,"午餐","2015-01-28"
"147","西红柿炒鸡蛋(套)",2,"午餐","2015-01-28"
"148","手撕包菜(套)",2,"午餐","2015-01-28"
"149","夹土豆条肉丝饼",2,"晚餐","2015-01-27"
"150","手撕包菜(套)",2,"晚餐","2015-01-27"
"151","手撕包菜(套)",2,"午餐","2015-01-27"
"152","酸辣茄条(套)",2,"午餐","2015-01-27"
"153","大米(小)",2,"午餐","2015-01-27"
"154","绿豆小米粥",2,"晚餐","2015-01-26"
"155","夹火腿饼",2,"晚餐","2015-01-26"
"156","砂锅炖菜（套）",2,"午餐","2015-01-26"
"157","西红柿鸡蛋面",2,"午餐","2015-01-22"
"158","西红柿鸡蛋面",2,"午餐","2015-01-20"
"159","黑米粥",2,"晚餐","2015-01-19"
"160","刷酱饼",2,"晚餐","2015-01-19"
"161","炒焖面",2,"午餐","2015-01-19"
"162","刷酱饼",2,"晚餐","2015-01-16"
"163","素馅饼",2,"晚餐","2015-01-16"
"164","大米(小)",2,"午餐","2015-01-16"
"165","手撕包菜(套)",2,"午餐","2015-01-16"
"166","酸辣茄条(套)",2,"午餐","2015-01-16"
"167","大米(小)",2,"午餐","2015-01-14"
"168","手撕包菜(套)",2,"午餐","2015-01-14"
"169","酸辣茄条(套)",2,"午餐","2015-01-14"
"170","皮蛋瘦肉粥",2,"晚餐","2015-01-13"
"171","素馅饼",2,"晚餐","2015-01-13"
"172","西芹香干(套)",2,"午餐","2015-01-13"
"173","大米(小)",2,"午餐","2015-01-13"
"174","鱼香肉丝(套)",2,"午餐","2015-01-13"
"175","素馅饼",2,"晚餐","2015-01-12"
"176","刷酱饼",2,"晚餐","2015-01-12"
"177","小笼包/肉",2,"午餐","2015-01-12"
"178","砂锅炖菜（套）",2,"午餐","2015-01-09"
"179","皮蛋瘦肉粥",2,"晚餐","2015-01-08"
"180","素馅饼",2,"晚餐","2015-01-08"
"181","甜玉米羹",2,"晚餐","2015-01-07"
