"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"红烧牛肉面",2,"晚餐","2015-06-25"
"4",14,"红烧排骨面",2,"晚餐","2015-06-19"
"5",15,"冷饮",2,"晚餐","2015-06-11"
"6",16,"汉堡",2,"晚餐","2015-06-09"
"7",17,"【牛肉板面】",2,"晚餐","2015-06-05"
"8",18,"雪菜肉丝面",2,"晚餐","2015-06-04"
"9",19,"热饮",2,"晚餐","2015-06-01"
"10",20,"绿豆小米粥",2,"晚餐","2015-05-27"
"11",21,"素馅饼",2,"晚餐","2015-05-27"
"12",22,"担担面",2,"晚餐","2015-05-25"
"13",23,"汉堡",2,"晚餐","2015-05-22"
"14",24,"冷饮",2,"晚餐","2015-05-22"
"15",25,"【肉丝炒拨烂子】",2,"晚餐","2015-05-20"
"16",26,"大米(小)",2,"午餐","2015-05-18"
"17",27,"苜蓿肉(套)",2,"午餐","2015-05-18"
"18",28,"果汁",2,"晚餐","2015-05-13"
"19",29,"汉堡",2,"晚餐","2015-05-13"
"20",30,"汉堡",2,"晚餐","2015-05-08"
"21",31,"优酸乳(盒)",2,"晚餐","2015-05-08"
"22",32,"绿豆小米粥",2,"晚餐","2015-05-07"
"23",33,"茄子饼",2,"晚餐","2015-05-07"
"24",34,"炸酱面",2,"晚餐","2015-05-06"
"25",35,"热饮",2,"晚餐","2015-05-05"
"26",36,"汉堡",2,"晚餐","2015-05-05"
"27",37,"蛋挞",2,"晚餐","2015-05-05"
"28",38,"热干面",2,"晚餐","2015-05-04"
"29",39,"冷饮",2,"晚餐","2015-04-29"
"30",40,"热干面",2,"晚餐","2015-04-29"
"31",41,"冷饮",2,"晚餐","2015-04-28"
"32",42,"夹火腿饼",2,"晚餐","2015-04-27"
"33",43,"冷饮",2,"晚餐","2015-04-27"
"34",44,"汉堡",2,"晚餐","2015-04-27"
"35",45,"汉堡",2,"晚餐","2015-04-24"
"36",46,"冷饮",2,"晚餐","2015-04-24"
"37",47,"西红柿鸡蛋面",2,"晚餐","2015-04-23"
"38",48,"热干面",2,"晚餐","2015-04-23"
"39",49,"汉堡",2,"晚餐","2015-04-09"
"40",50,"热饮",2,"晚餐","2015-04-09"
"41",51,"绿豆小米粥",2,"晚餐","2015-04-07"
"42",52,"茄子饼",2,"晚餐","2015-04-07"
"43",53,"汉堡",2,"晚餐","2015-03-27"
"44",54,"热饮",2,"晚餐","2015-03-27"
"45",55,"热饮",2,"晚餐","2015-03-23"
"46",56,"汉堡",2,"晚餐","2015-03-23"
"47",57,"汉堡",2,"晚餐","2015-03-20"
"48",58,"热饮",2,"晚餐","2015-03-20"
"49",59,"绿豆小米粥",2,"晚餐","2015-03-19"
"50",60,"土豆汉堡",2,"晚餐","2015-03-19"
"51",61,"绿豆小米粥",2,"晚餐","2015-03-18"
"52",62,"茄子饼",2,"晚餐","2015-03-18"
"53",63,"热饮",2,"晚餐","2015-03-17"
"54",64,"汉堡",2,"晚餐","2015-03-17"
"55",65,"绿豆小米粥",2,"晚餐","2015-03-16"
"56",66,"汉堡",2,"晚餐","2015-03-16"
"57",67,"绿豆小米粥",2,"晚餐","2015-03-11"
"58",68,"蘑菇饼",2,"晚餐","2015-03-11"
"59",69,"绿豆小米粥",2,"晚餐","2015-03-10"
"60",70,"茄子饼",2,"晚餐","2015-03-10"
"61",71,"绿豆小米粥",2,"晚餐","2015-02-02"
"62",72,"土豆汉堡",2,"晚餐","2015-02-02"
"63",73,"绿豆小米粥",2,"晚餐","2015-01-28"
"64",74,"茄子饼",2,"晚餐","2015-01-28"
"65",75,"叉烧肉炒饭",2,"午餐","2015-01-28"
"66",76,"绿豆小米粥",2,"晚餐","2015-01-26"
"67",77,"茄子饼",2,"晚餐","2015-01-26"
"68",78,"绿豆小米粥",2,"晚餐","2015-01-14"
"69",79,"南瓜饼",2,"晚餐","2015-01-14"
"70",80,"绿豆小米粥",2,"晚餐","2015-01-13"
"71",81,"火腿西红柿炒方便面",2,"晚餐","2015-01-13"
"72",82,"绿豆小米粥",2,"晚餐","2015-01-12"
"73",83,"茄子饼",2,"晚餐","2015-01-12"
"74",84,"土豆丝(套)",2,"晚餐","2015-01-08"
"75",85,"绿豆小米粥",2,"晚餐","2015-01-08"
"76",86,"绿豆小米粥",2,"晚餐","2015-01-07"
"77",87,"茄子饼",2,"晚餐","2015-01-07"
"78",88,"绿豆小米粥",2,"晚餐","2015-01-05"
"79",89,"西红柿鸡蛋面",2,"晚餐","2015-01-04"
"80",90,"绿豆小米粥",2,"晚餐","2015-01-04"
"81",91,"夹肉饼",2,"晚餐","2015-01-04"
"82",92,"绿豆小米粥",2,"晚餐","2014-12-30"
"83",93,"土豆汉堡",2,"晚餐","2014-12-30"
"84",94,"砂锅炖菜（套）",2,"午餐","2014-12-30"
"85",95,"拌汤",2,"早餐","2014-12-30"
"86",96,"绿豆小米粥",2,"晚餐","2014-12-29"
"87",97,"土豆汉堡",2,"晚餐","2014-12-29"
"88",98,"黑米粥",2,"晚餐","2014-12-26"
"89",99,"土豆汉堡",2,"晚餐","2014-12-26"
"90",100,"砂锅炖菜（套）",2,"晚餐","2014-12-25"
"91",101,"绿豆小米粥",2,"晚餐","2014-12-24"
"92",102,"绿豆小米粥",2,"晚餐","2014-12-19"
"93",103,"夹里脊饼",2,"晚餐","2014-12-19"
"94",104,"素馅饼",2,"晚餐","2014-12-18"
"95",105,"绿豆小米粥",2,"晚餐","2014-12-18"
"96",106,"绿豆小米粥",2,"晚餐","2014-12-17"
"97",107,"南瓜饼",2,"晚餐","2014-12-17"
"98",108,"皮蛋瘦肉粥",2,"晚餐","2014-12-16"
"99",109,"绿豆小米粥",2,"晚餐","2014-12-15"
"100",110,"茄子饼",2,"晚餐","2014-12-15"
"101",111,"绿豆小米粥",2,"晚餐","2014-12-12"
"102",112,"素馅饼",2,"晚餐","2014-12-12"
"103",113,"南瓜饼",2,"晚餐","2014-12-11"
"104",114,"皮蛋瘦肉粥",2,"晚餐","2014-12-11"
"105",115,"绿豆小米粥",2,"晚餐","2014-12-09"
"106",116,"茄子饼",2,"晚餐","2014-12-09"
"107",117,"大米(小)",2,"午餐","2014-12-09"
"108",118,"莲菜炒肉(套)",2,"午餐","2014-12-09"
"109",119,"麻辣豆腐(套)",2,"午餐","2014-12-09"
"110",120,"馄饨",2,"早餐","2014-12-09"
"111",121,"皮蛋瘦肉粥",2,"晚餐","2014-12-08"
"112",122,"土豆汉堡",2,"晚餐","2014-12-08"
"113",123,"大米(小)",2,"午餐","2014-12-08"
"114",124,"豆角土豆条(套)",2,"午餐","2014-12-08"
"115",125,"尖椒肉丝(套)",2,"午餐","2014-12-08"
"116",126,"馄饨",2,"早餐","2014-12-08"
"117",127,"绿豆小米粥",2,"晚餐","2014-12-02"
"118",128,"南瓜饼",2,"晚餐","2014-12-02"
"119",129,"馄饨",2,"早餐","2014-11-28"
"120",130,"绿豆小米粥",2,"晚餐","2014-11-26"
"121",131,"茄子饼",3,"晚餐","2014-11-26"
"122",132,"皮蛋瘦肉粥",2,"晚餐","2014-11-25"
"123",133,"南瓜饼",2,"晚餐","2014-11-25"
"124",134,"大米(小)",2,"午餐","2014-11-19"
"125",135,"西葫芦炒鸡蛋(套)",2,"午餐","2014-11-19"
"126",136,"馄饨",2,"早餐","2014-11-19"
"127",137,"大米(小)",2,"午餐","2014-11-18"
"128",138,"西红柿炒鸡蛋(套)",2,"午餐","2014-11-18"
"129",139,"大米(小)",2,"午餐","2014-11-18"
"130",140,"腐竹烧肉(套)",2,"午餐","2014-11-18"
"131",141,"酸菜粉条(套)",2,"午餐","2014-11-18"
"132",142,"皮蛋瘦肉粥",2,"晚餐","2014-11-17"
"133",143,"绿豆小米粥",2,"晚餐","2014-11-17"
"134",144,"南瓜饼",2,"晚餐","2014-11-17"
"135",145,"大米(小)",2,"午餐","2014-11-17"
"136",146,"豆花肉片(套)",2,"午餐","2014-11-17"
"137",147,"尖椒肉丝(套)",2,"午餐","2014-11-17"
"138",148,"馄饨",2,"早餐","2014-11-17"
"139",149,"皮蛋瘦肉粥",2,"晚餐","2014-11-14"
"140",150,"绿豆小米粥",2,"晚餐","2014-11-12"
"141",151,"绿豆小米粥",2,"晚餐","2014-11-11"
"142",152,"茄子饼",2,"晚餐","2014-11-11"
"143",153,"茄子饼",2,"晚餐","2014-11-10"
"144",154,"绿豆小米粥",2,"晚餐","2014-11-10"
"145",155,"西红柿炒鸡蛋(套)",2,"午餐","2014-11-10"
"146",156,"尖椒肉丝(套)",2,"午餐","2014-11-10"
"147",157,"大米(小)",2,"午餐","2014-11-10"
"148",158,"皮蛋瘦肉粥",2,"晚餐","2014-11-07"
"149",159,"绿豆小米粥",2,"晚餐","2014-11-05"
"150",160,"土豆汉堡",2,"晚餐","2014-11-05"
"151",161,"绿豆小米粥",2,"晚餐","2014-11-04"
"152",162,"茄子饼",2,"晚餐","2014-11-04"
"153",163,"绿豆小米粥",2,"晚餐","2014-11-03"
"154",164,"茄子饼",2,"晚餐","2014-11-03"
"155",165,"皮蛋瘦肉粥",2,"晚餐","2014-10-31"
"156",166,"尖椒肉丝(套)",2,"晚餐","2014-10-29"
