"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",3,"就餐类型",NA
"3",13,"优益C",2,"晚餐","2015-04-17"
"4",14,"莫斯利安",2,"晚餐","2015-03-25"
"5",15,"炸薯条",2,"晚餐","2015-03-25"
"6",16,"巧克力蛋糕",2,"晚餐","2015-03-23"
"7",17,"优酸乳(袋)",2,"晚餐","2015-03-16"
"8",18,"牛肉烩饼",2,"晚餐","2015-03-16"
"9",19,"炸蟹排",2,"午餐","2015-01-07"
"10",20,"大米(小)",2,"午餐","2015-01-07"
"11",21,"辣子鸡块(套)",2,"午餐","2015-01-07"
"12",22,"红烧土豆片(套)",2,"午餐","2015-01-07"
"13",23,"优酸乳(袋)",2,"午餐","2015-01-07"
"14",24,"莫斯利安",2,"晚餐","2015-01-06"
"15",25,"谷物酸奶",2,"晚餐","2014-12-22"
"16",26,"优酸乳(袋)",2,"晚餐","2014-12-12"
"17",27,"叉烧肉炒饭",2,"晚餐","2014-12-12"
"18",28,"黄焖鸡面",2,"午餐","2014-12-09"
"19",29,"优酸乳(袋)",2,"午餐","2014-10-13"
"20",30,"鸡丁炒米",2,"午餐","2014-10-13"
"21",31,"大米",2,"午餐","2014-10-11"
"22",32,"香菇油菜(套)",2,"午餐","2014-10-11"
"23",33,"宫保鸡丁(套)",2,"午餐","2014-10-11"
"24",34,"鸡肉火腿肠",2,"晚餐","2014-09-09"
"25",35,"巧克力蛋糕",2,"晚餐","2014-09-09"
"26",36,"热饮",2,"晚餐","2014-09-09"
