"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",3,"就餐类型",NA
"3",13,"京酱肉丝卷饼",2,"早餐","2015-06-19"
"4",14,"京酱肉丝卷饼",2,"早餐","2015-05-28"
"5",15,"果汁",2,"晚餐","2015-05-26"
"6",16,"热狗面包",2,"晚餐","2015-05-14"
"7",17,"蛋挞",2,"晚餐","2015-05-14"
"8",18,"过油肉(套)",2,"午餐","2015-04-14"
"9",19,"香菇油菜(套)",2,"午餐","2015-04-14"
"10",20,"大米",2,"午餐","2015-04-14"
"11",21,"红烧牛肉丸(套)",2,"晚餐","2015-04-07"
"12",22,"手撕包菜(套)",2,"晚餐","2015-04-07"
"13",23,"大米",2,"晚餐","2015-04-07"
"14",24,"粉条烧肉(套)",2,"晚餐","2015-03-31"
"15",25,"大米(小)",2,"午餐","2015-03-30"
"16",26,"干炸蘑菇(套)",2,"午餐","2015-03-30"
"17",27,"西葫芦炒鸡蛋(套)",2,"午餐","2015-03-30"
"18",28,"鸡肉火腿肠",2,"晚餐","2015-01-04"
"19",29,"黑米粥",2,"晚餐","2015-01-04"
"20",30,"南瓜小米粥",2,"晚餐","2015-01-04"
"21",31,"叉烧肉炒饭",2,"晚餐","2014-12-26"
"22",32,"炸大串",2,"晚餐","2014-12-26"
"23",33,"叉烧肉炒饭",2,"午餐","2014-12-19"
"24",34,"鱼香肉丝(套)",2,"晚餐","2014-11-25"
"25",35,"三鲜娃娃菜(套)",2,"晚餐","2014-11-17"
"26",36,"牛肉松蛋糕",2,"早餐","2014-11-14"
"27",37,"三鲜米线",2,"午餐","2014-11-13"
"28",38,"椰蓉蛋糕",2,"早餐","2014-11-13"
"29",39,"肉串",2,"午餐","2014-11-12"
"30",40,"大米(小)",2,"午餐","2014-11-11"
"31",41,"鱼香肉丝(套)",2,"午餐","2014-11-11"
"32",42,"营养套餐",2,"早餐","2014-11-11"
"33",43,"炸大串",2,"晚餐","2014-11-10"
"34",44,"绿豆小米粥",2,"晚餐","2014-11-10"
"35",45,"汉堡",2,"午餐","2014-11-10"
"36",46,"鸡肉火腿肠",2,"晚餐","2014-11-07"
"37",47,"金针菇米线",2,"午餐","2014-11-07"
"38",48,"营养套餐1",2,"早餐","2014-11-07"
"39",49,"汉堡",2,"早餐","2014-11-06"
"40",50,"京酱肉丝卷饼",2,"早餐","2014-11-05"
"41",51,"粉丝菠菜（套）",2,"午餐","2014-11-04"
"42",52,"大米(小)",2,"午餐","2014-11-04"
"43",53,"宫保鸡丁(套)",2,"午餐","2014-11-04"
"44",54,"椰蓉蛋糕",2,"早餐","2014-11-04"
"45",55,"热饮",2,"早餐","2014-11-04"
"46",56,"粉丝菠菜（套）",2,"午餐","2014-11-03"
"47",57,"菜花炒肉(套)",2,"午餐","2014-11-03"
"48",58,"大米(小)",2,"午餐","2014-11-03"
"49",59,"热饮",2,"早餐","2014-11-03"
"50",60,"牛肉松蛋糕",2,"早餐","2014-11-03"
"51",61,"牛肉松蛋糕",2,"早餐","2014-10-30"
"52",62,"椰蓉蛋糕",2,"早餐","2014-10-29"
"53",63,"热饮",2,"早餐","2014-10-29"
"54",64,"椰蓉蛋糕",2,"早餐","2014-10-28"
"55",65,"大米(小)",2,"午餐","2014-10-27"
"56",66,"手撕包菜(套)",2,"午餐","2014-10-27"
"57",67,"酸辣茄条(套)",2,"午餐","2014-10-27"
"58",68,"西红柿炒鸡蛋(套)",2,"午餐","2014-10-27"
