"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"黑椒猪排饭",2,"晚餐","2015-08-11"
"4",14,"番茄牛肉饭",2,"午餐","2015-07-01"
"5",15,"营养套餐",2,"早餐","2015-06-17"
"6",16,"营养套餐",2,"早餐","2015-06-16"
"7",17,"番茄牛肉饭",2,"午餐","2015-06-15"
"8",18,"鸡肉火腿肠",2,"晚餐","2015-06-12"
"9",19,"番茄牛肉饭",2,"午餐","2015-06-12"
"10",20,"红烧排骨面",2,"午餐","2015-06-11"
"11",21,"馄饨",2,"早餐","2015-06-11"
"12",22,"馄饨",2,"早餐","2015-06-10"
"13",23,"炒馒头",2,"晚餐","2015-06-09"
"14",24,"糖醋里脊(套)",2,"午餐","2015-06-09"
"15",25,"尖椒肉丝(套)",2,"午餐","2015-06-09"
"16",26,"大米",2,"午餐","2015-06-09"
"17",27,"套餐",2,"早餐","2015-06-09"
"18",28,"炒馒头",2,"晚餐","2015-06-08"
"19",29,"卤鸡蛋",2,"早餐","2015-06-08"
"20",30,"馄饨",2,"早餐","2015-06-08"
"21",31,"卤鸡蛋",2,"早餐","2015-06-08"
"22",32,"牛肉炒米",2,"午餐","2015-06-05"
"23",33,"叉烧肉炒饭",3,"午餐","2015-06-03"
"24",34,"香菇油菜(套)",2,"午餐","2015-06-02"
"25",35,"土豆鸡块(套)",2,"午餐","2015-06-02"
"26",36,"麻辣豆腐(套)",2,"午餐","2015-06-02"
"27",37,"香菇油菜(套)",2,"午餐","2015-06-02"
"28",38,"大米",2,"午餐","2015-06-02"
"29",39,"套餐",2,"早餐","2015-06-02"
"30",40,"炒饼丝",2,"晚餐","2015-06-01"
"31",41,"叉烧肉炒饭",2,"午餐","2015-05-29"
"32",42,"套餐",2,"早餐","2015-05-29"
"33",43,"黑椒猪排饭",2,"午餐","2015-05-28"
"34",44,"西红柿鸡蛋面",2,"午餐","2015-05-28"
"35",45,"红烧排骨面",2,"午餐","2015-05-27"
"36",46,"汉堡",2,"早餐","2015-05-26"
"37",47,"豆角肉丝",2,"午餐","2015-05-25"
"38",48,"玉米粒(套)",2,"午餐","2015-05-25"
"39",49,"大米",2,"午餐","2015-05-25"
"40",50,"大米(小)",2,"午餐","2015-05-22"
"41",51,"红烧土豆片(套)",2,"午餐","2015-05-22"
"42",52,"糖醋里脊(套)",2,"午餐","2015-05-22"
"43",53,"营养套餐",2,"早餐","2015-05-22"
"44",54,"黑椒猪排饭",2,"午餐","2015-05-21"
"45",55,"火腿炒米",2,"晚餐","2015-05-20"
"46",56,"大米",2,"午餐","2015-05-15"
"47",57,"豆角肉丝",2,"午餐","2015-05-15"
"48",58,"玉米粒(套)",2,"午餐","2015-05-15"
"49",59,"香菇肉片(套)",2,"午餐","2015-05-14"
"50",60,"麻辣豆腐(套)",2,"午餐","2015-05-14"
"51",61,"绿茶蛋糕",2,"早餐","2015-05-14"
"52",62,"黑椒猪排饭",2,"午餐","2015-05-13"
"53",63,"素馅饼",2,"早餐","2015-05-13"
"54",64,"白糖饼",2,"早餐","2015-05-13"
"55",65,"京酱肉丝卷饼",2,"早餐","2015-05-13"
"56",66,"鸡蛋灌饼",2,"晚餐","2015-05-12"
"57",67,"京酱肉丝米饭",2,"午餐","2015-05-12"
"58",68,"京酱肉丝米饭",2,"午餐","2015-05-12"
"59",69,"馄饨",2,"早餐","2015-05-12"
"60",70,"咖喱牛肉饭",2,"午餐","2015-05-11"
"61",71,"汉堡",2,"早餐","2015-05-11"
"62",72,"炒莜面烤栳栳",2,"晚餐","2015-05-08"
"63",73,"大米",2,"午餐","2015-05-08"
"64",74,"干锅土豆片(套)",2,"午餐","2015-05-08"
"65",75,"尖椒肉丝(套)",2,"午餐","2015-05-08"
"66",76,"汉堡",2,"早餐","2015-05-08"
"67",77,"鸡肉火腿肠",2,"晚餐","2015-05-07"
"68",78,"蛋挞",2,"晚餐","2015-05-07"
"69",79,"手抓饼",2,"午餐","2015-05-07"
"70",80,"炒焖面",2,"午餐","2015-05-07"
"71",81,"大米(小)",2,"晚餐","2015-05-06"
"72",82,"糖醋里脊(套)",2,"晚餐","2015-05-06"
"73",83,"大米",3,"晚餐","2015-05-06"
"74",84,"牛肉松蛋糕",2,"早餐","2015-05-06"
"75",85,"火腿卷",2,"晚餐","2015-05-05"
"76",86,"叉烧肉炒饭",2,"午餐","2015-05-05"
"77",87,"套餐",2,"早餐","2015-05-05"
"78",88,"鱼香肉丝(套)",2,"午餐","2015-05-04"
"79",89,"大米",2,"午餐","2015-05-04"
"80",90,"卤鸡蛋",2,"早餐","2015-05-04"
"81",91,"黑椒猪排饭",2,"午餐","2015-04-29"
"82",92,"营养套餐",2,"早餐","2015-04-29"
"83",93,"肉包子",3,"晚餐","2015-04-28"
"84",94,"叉烧肉炒饭",2,"午餐","2015-04-27"
"85",95,"京酱肉丝卷饼",2,"早餐","2015-04-27"
"86",96,"糖醋里脊(套)",2,"晚餐","2015-04-24"
"87",97,"夹火腿饼",2,"晚餐","2015-04-24"
"88",98,"大米",2,"午餐","2015-04-24"
"89",99,"尖椒肉丝(套)",3,"午餐","2015-04-24"
"90",100,"蛋挞",2,"午餐","2015-04-24"
"91",101,"牛肉松蛋糕",2,"早餐","2015-04-24"
"92",102,"汉堡",2,"早餐","2015-04-24"
"93",103,"粉丝菠菜（套）",2,"午餐","2015-04-23"
"94",104,"香菇肉片(套)",2,"午餐","2015-04-23"
"95",105,"蛋挞",2,"早餐","2015-04-23"
"96",106,"红烧牛肉丸(套)",2,"午餐","2015-04-22"
"97",107,"玉米粒(套)",2,"午餐","2015-04-22"
"98",108,"大米",2,"午餐","2015-04-22"
"99",109,"馄饨",2,"早餐","2015-04-22"
"100",110,"炒饼丝",2,"晚餐","2015-04-21"
"101",111,"蛋挞",2,"晚餐","2015-04-21"
"102",112,"黑椒猪排饭",2,"午餐","2015-04-21"
"103",113,"套餐",2,"早餐","2015-04-21"
"104",114,"红烧土豆片(套)",2,"午餐","2015-04-20"
"105",115,"大米",2,"午餐","2015-04-20"
"106",116,"红烧鲶鱼(套)",2,"午餐","2015-04-20"
"107",117,"绿豆小米粥",2,"早餐","2015-04-17"
"108",118,"京酱肉丝卷饼",2,"早餐","2015-04-17"
"109",119,"大果粒",2,"晚餐","2015-04-16"
"110",120,"叉烧肉炒饭",2,"午餐","2015-04-16"
"111",121,"馄饨",2,"早餐","2015-04-16"
"112",122,"叉烧肉炒饭",2,"午餐","2015-04-15"
"113",123,"糖醋里脊(套)",2,"午餐","2015-04-14"
"114",124,"干锅土豆片(套)",2,"午餐","2015-04-14"
"115",125,"大米",2,"午餐","2015-04-14"
"116",126,"营养套餐",2,"早餐","2015-04-14"
"117",127,"大烩菜(套)",2,"午餐","2015-04-13"
"118",128,"糖醋里脊(套)",2,"午餐","2015-04-13"
"119",129,"大米(小)",2,"午餐","2015-04-13"
"120",130,"京酱肉丝卷饼",2,"早餐","2015-04-13"
"121",131,"炒馒头",2,"晚餐","2015-04-10"
"122",132,"馄饨",2,"早餐","2015-04-10"
"123",133,"叉烧肉炒饭",2,"午餐","2015-04-09"
"124",134,"馄饨",2,"早餐","2015-04-09"
"125",135,"糖醋里脊(套)",2,"午餐","2015-04-08"
"126",136,"家常豆腐(套)",2,"午餐","2015-04-08"
"127",137,"大米",2,"午餐","2015-04-08"
"128",138,"套餐",2,"早餐","2015-04-08"
"129",139,"黑椒猪排饭",2,"午餐","2015-04-07"
"130",140,"汉堡",2,"早餐","2015-04-07"
"131",141,"大米",2,"午餐","2015-04-03"
"132",142,"红烧牛肉丸(套)",2,"午餐","2015-04-03"
"133",143,"手撕包菜(套)",2,"午餐","2015-04-03"
"134",144,"套餐",2,"早餐","2015-04-03"
"135",145,"黑椒猪排饭",2,"午餐","2015-04-02"
"136",146,"营养套餐",2,"早餐","2015-04-02"
"137",147,"鸡肉火腿肠",2,"晚餐","2015-04-01"
"138",148,"大米(小)",2,"午餐","2015-04-01"
"139",149,"红烧鲶鱼(套)",2,"午餐","2015-04-01"
"140",150,"鱼香肉丝(套)",2,"午餐","2015-04-01"
"141",151,"馄饨",2,"早餐","2015-04-01"
"142",152,"清汤牛肉面",2,"晚餐","2015-03-31"
"143",153,"肉包子",2,"晚餐","2015-03-31"
"144",154,"糖醋里脊(套)",2,"午餐","2015-03-31"
"145",155,"干锅土豆片(套)",2,"午餐","2015-03-31"
"146",156,"大米",2,"午餐","2015-03-31"
"147",157,"京酱肉丝卷饼",2,"早餐","2015-03-31"
"148",158,"豆浆",2,"早餐","2015-03-31"
"149",159,"黑椒猪排饭",2,"午餐","2015-03-30"
"150",160,"营养套餐",2,"早餐","2015-03-30"
"151",161,"黑椒猪排饭",2,"午餐","2015-03-27"
"152",162,"宫保鸡丁(套)",2,"午餐","2015-03-26"
"153",163,"糖醋里脊(套)",2,"午餐","2015-03-26"
"154",164,"大米",2,"午餐","2015-03-26"
"155",165,"馄饨",2,"早餐","2015-03-26"
"156",166,"菠萝肉片",2,"午餐","2015-03-25"
"157",167,"西葫芦炒鸡蛋(套)",2,"午餐","2015-03-25"
"158",168,"大米",2,"午餐","2015-03-25"
"159",169,"套餐",2,"早餐","2015-03-25"
