"","Dine","Share","Type","Date"
"11","西红柿鸡蛋面",2,"晚餐",2015-06-18
"12","西红柿鸡蛋面",2,"晚餐",2015-06-16
"13","大米(小)",2,"午餐",2015-06-10
"14","西红柿炒鸡蛋(套)",2,"午餐",2015-06-10
"15","玉米粒(套)",2,"午餐",2015-06-10
"16","酸辣茄条(套)",2,"午餐",2015-06-09
"17","大米(小)",2,"午餐",2015-06-09
"18","手撕包菜(套)",2,"午餐",2015-06-09
"19","炒焖面",2,"午餐",2015-06-08
"20","西红柿鸡蛋面",2,"午餐",2015-06-05
"21","绿豆小米粥",2,"晚餐",2015-06-04
"22","素馅饼",2,"晚餐",2015-06-04
"23","大米(小)",2,"午餐",2015-06-03
"24","尖椒肉丝(套)",2,"午餐",2015-06-03
"25","手撕包菜(套)",2,"午餐",2015-06-03
"26","炒饼丝",2,"午餐",2015-06-02
"27","回锅肉(套)",2,"午餐",2015-06-01
"28","红烧土豆片(套)",2,"午餐",2015-06-01
"29","红烧土豆片(套)",2,"午餐",2015-05-29
"30","辣子鸡块(套)",2,"午餐",2015-05-29
"31","炒饼丝",2,"午餐",2015-05-28
"32","大米(小)",2,"午餐",2015-05-26
"33","西红柿炒鸡蛋(套)",2,"午餐",2015-05-26
"34","酸辣茄条(套)",2,"午餐",2015-05-26
"35","清炒莴笋（套）",2,"午餐",2015-05-26
"36","大米(小)",2,"午餐",2015-05-26
"37","西红柿炒鸡蛋(套)",2,"午餐",2015-05-26
"38","炒饼丝",2,"午餐",2015-05-25
"39","红烧土豆片(套)",2,"午餐",2015-05-22
"40","红烧茄子(套)",2,"午餐",2015-05-22
"41","炒饼丝",2,"晚餐",2015-05-20
"42","豆花肉片(套)",2,"午餐",2015-05-15
"43","大米",2,"午餐",2015-05-15
"44","皮蛋瘦肉粥",2,"晚餐",2015-05-14
"45","素馅饼",2,"晚餐",2015-05-14
"46","回锅肉(套)",2,"午餐",2015-05-13
"47","红烧土豆片(套)",2,"午餐",2015-05-13
"48","皮蛋瘦肉粥",2,"晚餐",2015-05-12
"49","夹里脊饼",2,"晚餐",2015-05-12
"50","大米(小)",2,"午餐",2015-05-11
"51","苜蓿肉(套)",2,"午餐",2015-05-11
"52","土豆鸡块(套)",2,"午餐",2015-05-11
"53","大米(小)",2,"午餐",2015-05-08
"54","红烧肉(套)",2,"午餐",2015-05-08
"55","大米",3,"午餐",2015-05-08
"56","甜玉米羹",2,"晚餐",2015-05-07
"57","素馅饼",2,"晚餐",2015-05-07
"58","西红柿鸡蛋面",2,"午餐",2015-05-07
"59","绿豆小米粥",2,"晚餐",2015-05-05
"60","素馅饼",2,"晚餐",2015-05-05
"61","清炒莴笋（套）",2,"午餐",2015-05-04
"62","西红柿炒鸡蛋(套)",2,"午餐",2015-05-04
"63","大米",2,"午餐",2015-05-04
"64","尖椒肉丝(套)",2,"午餐",2015-05-04
"65","清炒莴笋（套）",2,"午餐",2015-05-04
"66","大米(小)",2,"午餐",2015-05-04
"67","大米(小)",2,"午餐",2015-04-30
"68","麻辣豆腐(套)",2,"午餐",2015-04-30
"69","过油肉(套)",2,"午餐",2015-04-30
"70","甜玉米羹",2,"晚餐",2015-04-29
"71","夹肉饼",2,"晚餐",2015-04-29
"72","西红柿鸡蛋面",2,"午餐",2015-04-29
"73","咖喱鸡块饭",2,"午餐",2015-04-28
"74","西红柿鸡蛋面",2,"午餐",2015-04-27
"75","鱼香肉丝(套)",2,"午餐",2015-04-24
"76","大米(小)",2,"午餐",2015-04-24
"77","茴子白炒粉条(套)",2,"午餐",2015-04-24
"78","大米(小)",2,"午餐",2015-04-23
"79","大米(小)",2,"午餐",2015-04-23
"80","莲菜炒肉(套)",2,"午餐",2015-04-23
"81","辣子鸡块(套)",2,"午餐",2015-04-23
"82","鱼香肉丝(套)",2,"午餐",2015-04-23
"83","大米(小)",2,"午餐",2015-04-22
"84","西红柿炒鸡蛋(套)",2,"午餐",2015-04-22
"85","手撕包菜(套)",2,"午餐",2015-04-22
"86","西红柿鸡蛋面",2,"午餐",2015-04-21
"87","西红柿鸡蛋面",2,"午餐",2015-04-20
"88","卤鸡蛋",2,"午餐",2015-04-20
"89","大米(小)",2,"午餐",2015-04-16
"90","西红柿炒鸡蛋(套)",2,"午餐",2015-04-16
"91","尖椒肉丝(套)",2,"午餐",2015-04-16
"92","大米(小)",2,"午餐",2015-04-15
"93","西红柿炒鸡蛋(套)",2,"午餐",2015-04-15
"94","手撕包菜(套)",2,"午餐",2015-04-15
"95","大米(小)",2,"午餐",2015-04-13
"96","西红柿炒鸡蛋(套)",2,"午餐",2015-04-13
"97","手撕包菜(套)",2,"午餐",2015-04-13
"98","大米(小)",2,"午餐",2015-04-09
"99","西红柿炒鸡蛋(套)",2,"午餐",2015-04-09
"100","手撕包菜(套)",2,"午餐",2015-04-09
"101","皮蛋瘦肉粥",2,"晚餐",2015-04-08
"102","素馅饼",2,"晚餐",2015-04-08
"103","素馅饼",3,"午餐",2015-04-07
"104","素馅饼",2,"晚餐",2015-04-01
"105","皮蛋瘦肉粥",2,"晚餐",2015-04-01
"106","大米(小)",2,"午餐",2015-03-30
"107","豆角土豆条(套)",2,"午餐",2015-03-30
"108","尖椒肉丝(套)",2,"午餐",2015-03-30
"109","大米(小)",2,"午餐",2015-03-30
