"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","清汤牛肉面",2,"晚餐",2015-06-23
"14","土豆丝(套)",2,"晚餐",2015-06-18
"15","红烧茄子(套)",2,"晚餐",2015-06-18
"16","大米",2,"晚餐",2015-06-18
"17","大盘鸡面",2,"晚餐",2015-06-17
"18","黑椒猪排饭",2,"午餐",2015-06-16
"19","咖喱鸡块饭",2,"午餐",2015-06-16
"20","豆花肉片(套)",2,"晚餐",2015-06-10
"21","豆角土豆条(套)",2,"晚餐",2015-06-10
"22","大米",2,"晚餐",2015-06-10
"23","红烧牛肉面",2,"晚餐",2015-06-09
"24","太钢汽水",2,"晚餐",2015-06-08
"25","豆角肉丝",2,"晚餐",2015-06-08
"26","莲菜炒肉(套)",2,"晚餐",2015-06-08
"27","太钢汽水",2,"午餐",2015-06-08
"28","香辣肉酱面",2,"午餐",2015-06-08
"29","太钢汽水",2,"晚餐",2015-06-03
"30","西红柿炒鸡蛋(套)",2,"晚餐",2015-06-03
"31","豆角土豆条(套)",2,"晚餐",2015-06-03
"32","大米",2,"晚餐",2015-06-03
"33","太钢汽水",2,"午餐",2015-06-03
"34","麻辣豆腐(套)",2,"午餐",2015-06-03
"35","尖椒肉丝(套)",3,"午餐",2015-06-03
"36","葡萄干蛋糕",2,"晚餐",2015-06-02
"37","太钢汽水",2,"晚餐",2015-06-02
"38","尖椒肉丝(套)",2,"晚餐",2015-06-02
"39","大米",2,"晚餐",2015-06-02
"40","西红柿炒鸡蛋(套)",2,"晚餐",2015-06-02
"41","牛肉松蛋糕",2,"晚餐",2015-06-01
"42","太钢汽水",3,"晚餐",2015-06-01
"43","绿茶蛋糕",2,"午餐",2015-06-01
"44","大米",3,"午餐",2015-06-01
"45","大米(小)",2,"午餐",2015-06-01
"46","西红柿炒鸡蛋(套)",2,"午餐",2015-06-01
"47","酸辣茄条(套)",2,"午餐",2015-06-01
"48","豆角肉丝",2,"晚餐",2015-05-28
"49","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-28
"50","大米",2,"晚餐",2015-05-28
"51","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-27
"52","粉丝菠菜（套）",2,"晚餐",2015-05-27
"53","大米",2,"晚餐",2015-05-27
"54","豆角肉丝",2,"晚餐",2015-05-26
"55","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-26
"56","大米",2,"晚餐",2015-05-26
"57","红枣酸乳",2,"午餐",2015-05-26
"58","豆角肉丝",2,"午餐",2015-05-26
"59","家常豆腐(套)",2,"午餐",2015-05-26
"60","大米",2,"午餐",2015-05-26
"61","红枣酸乳",2,"午餐",2015-05-26
"62","炸薯条",2,"午餐",2015-05-25
"63","尖椒肉丝(套)",2,"午餐",2015-05-25
"64","大米",2,"午餐",2015-05-25
"65","麻辣豆腐(套)",2,"午餐",2015-05-25
"66","豆角肉丝",2,"晚餐",2015-05-22
"67","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-22
"68","大米",2,"晚餐",2015-05-22
"69","红枣酸乳",2,"午餐",2015-05-21
"70","麻辣豆腐(套)",2,"午餐",2015-05-21
"71","大米",2,"午餐",2015-05-21
"72","香辣鸡块饭",2,"晚餐",2015-05-20
"73","豆角肉丝",2,"晚餐",2015-05-14
"74","大米",2,"晚餐",2015-05-14
"75","大果粒",2,"晚餐",2015-05-13
"76","红枣酸乳",2,"早餐",2015-05-12
"77","巧克力蛋糕",2,"午餐",2015-05-11
"78","辣子鸡块(套)",2,"午餐",2015-05-11
"79","红烧茄子(套)",2,"午餐",2015-05-11
"80","大米",2,"午餐",2015-05-11
"81","红烧茄子(套)",2,"晚餐",2015-05-06
"82","大米",2,"晚餐",2015-05-06
"83","西葫芦炒鸡蛋(套)",2,"晚餐",2015-05-06
"84","哈雷蛋糕",2,"早餐",2015-05-06
"85","巧克力蛋糕",2,"晚餐",2015-05-05
"86","炸薯条",2,"晚餐",2015-05-05
"87","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-05
"88","手撕包菜(套)",2,"晚餐",2015-05-05
"89","大米",3,"晚餐",2015-05-05
"90","绿茶蛋糕",2,"午餐",2015-05-05
"91","黄焖鸡米饭",2,"午餐",2015-05-05
"92","葡萄干蛋糕",2,"晚餐",2015-05-04
"93","大米",3,"晚餐",2015-05-04
"94","麻辣豆腐(套)",2,"晚餐",2015-05-04
"95","苜蓿肉(套)",2,"晚餐",2015-05-04
"96","干炸蘑菇(套)",2,"午餐",2015-05-04
"97","豆花肉片(套)",2,"午餐",2015-05-04
"98","大米",2,"午餐",2015-05-04
"99","西葫芦炒鸡蛋(套)",2,"午餐",2015-05-04
"100","土豆鸡块(套)",2,"午餐",2015-05-04
"101","大米",2,"午餐",2015-05-04
"102","大米",2,"午餐",2015-04-30
"103","西芹香干(套)",2,"午餐",2015-04-30
"104","土豆丝(套)",2,"午餐",2015-04-30
"105","热饮",2,"早餐",2015-04-30
"106","250冠益乳",2,"午餐",2015-04-29
"107","大米",2,"午餐",2015-04-29
"108","大果粒",2,"晚餐",2015-04-28
"109","叉烧肉炒饭",2,"午餐",2015-04-28
"110","巧克力蛋糕",2,"晚餐",2015-04-27
"111","豆角土豆条(套)",2,"晚餐",2015-04-27
"112","大米",2,"晚餐",2015-04-27
