"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","鱼香肉丝(套)",2,"午餐",2015-06-16
"14","麻辣豆腐(套)",2,"午餐",2015-06-16
"15","营养套餐",2,"早餐",2015-06-15
"16","土豆丝(套)",2,"午餐",2015-06-09
"17","土豆鸡块(套)",2,"午餐",2015-06-09
"18","大米(小)",2,"午餐",2015-06-08
"19","苜蓿肉(套)",2,"午餐",2015-06-08
"20","炒饼丝",2,"午餐",2015-06-05
"21","大烩菜(套)",2,"午餐",2015-06-04
"22","麻辣豆腐(套)",2,"午餐",2015-06-02
"23","土豆丝(套)",2,"午餐",2015-06-02
"24","大米(小)",2,"午餐",2015-06-01
"25","豆角土豆条(套)",2,"午餐",2015-06-01
"26","鱼香肉丝(套)",2,"午餐",2015-06-01
"27","尖椒肉丝(套)",2,"晚餐",2015-05-29
"28","菜花炒肉(套)",2,"午餐",2015-05-28
"29","过油肉(套)",2,"午餐",2015-05-28
"30","麻辣豆腐(套)",2,"午餐",2015-05-26
"31","过油肉(套)",2,"午餐",2015-05-26
"32","营养套餐",2,"早餐",2015-05-26
"33","香菇肉片(套)",2,"午餐",2015-05-25
"34","茴子白炒粉条(套)",2,"午餐",2015-05-25
"35","茴子白炒粉条(套)",2,"午餐",2015-05-22
"36","大烩菜(套)",2,"午餐",2015-05-22
"37","热狗面包",2,"早餐",2015-05-22
"38","大烩菜(套)",2,"午餐",2015-05-21
"39","菜花炒肉(套)",2,"午餐",2015-05-18
"40","葡萄干蛋糕",2,"早餐",2015-05-18
"41","黑米粥",2,"晚餐",2015-05-17
"42","粉丝菠菜（套）",2,"午餐",2015-05-15
"43","大米(小)",2,"午餐",2015-05-15
"44","茴子白炒粉条(套)",2,"午餐",2015-05-15
"45","营养套餐",2,"早餐",2015-05-14
"46","热狗面包",2,"早餐",2015-05-13
"47","大米(小)",2,"晚餐",2015-05-12
"48","土豆丝(套)",2,"晚餐",2015-05-12
"49","鱼香肉丝(套)",2,"午餐",2015-05-12
"50","大米(小)",2,"午餐",2015-05-11
"51","大烩菜(套)",2,"午餐",2015-05-11
"52","担担面",2,"午餐",2015-05-08
"53","套餐",2,"早餐",2015-05-07
"54","西红柿炒鸡蛋(套)",2,"午餐",2015-05-06
"55","酸辣鸭血(套)",2,"午餐",2015-05-06
"56","大米",2,"午餐",2015-05-06
"57","叉烧肉炒饭",2,"午餐",2015-05-05
"58","馄饨",2,"早餐",2015-05-04
"59","香菇肉片(套)",2,"午餐",2015-04-30
"60","大米",2,"午餐",2015-04-30
"61","热狗面包",2,"早餐",2015-04-30
"62","大米",2,"午餐",2015-04-29
"63","苜蓿肉(套)",2,"午餐",2015-04-29
"64","麻辣豆腐(套)",2,"晚餐",2015-04-28
"65","大米(小)",2,"晚餐",2015-04-28
"66","西红柿鸡蛋面",2,"午餐",2015-04-28
"67","大米(小)",2,"午餐",2015-04-27
"68","尖椒肉丝(套)",2,"午餐",2015-04-27
"69","鸡丁炒米",2,"午餐",2015-04-24
"70","花干(串)",3,"午餐",2015-04-23
"71","炒馒头",2,"午餐",2015-04-23
"72","大米(小)",2,"午餐",2015-04-22
"73","苜蓿肉(套)",2,"午餐",2015-04-22
"74","鱼香肉丝(套)",2,"午餐",2015-04-22
"75","炒饼丝",2,"晚餐",2015-04-21
"76","豆角土豆条(套)",2,"午餐",2015-04-20
"77","土豆鸡块(套)",2,"午餐",2015-04-20
"78","大米",2,"午餐",2015-04-20
"79","黑椒猪排饭",2,"午餐",2015-04-17
"80","苜蓿肉(套)",2,"午餐",2015-04-10
"81","大米(小)",2,"午餐",2015-04-10
"82","炒饼丝",2,"午餐",2015-04-09
"83","鱼香肉丝(套)",2,"午餐",2015-04-07
"84","土豆丝(套)",2,"午餐",2015-04-07
"85","大米",2,"午餐",2015-04-07
"86","营养套餐",2,"早餐",2015-04-07
"87","火腿炒米",2,"午餐",2015-04-03
"88","叉烧肉炒饭",2,"午餐",2015-04-02
"89","热狗面包",2,"早餐",2015-04-01
"90","炒馒头",2,"晚餐",2015-03-31
"91","粉丝菠菜（套）",2,"午餐",2015-03-31
"92","干炸蘑菇(套)",2,"午餐",2015-03-31
"93","热狗面包",2,"早餐",2015-03-31
"94","大米(小)",2,"午餐",2015-03-27
"95","尖椒肉丝(套)",2,"午餐",2015-03-27
"96","大米(小)",2,"晚餐",2015-03-26
"97","土豆丝(套)",2,"晚餐",2015-03-26
"98","炸酱面",2,"午餐",2015-03-26
"99","热狗面包",2,"早餐",2015-03-26
"100","套餐",2,"早餐",2015-03-25
"101","大米(小)",2,"午餐",2015-03-24
"102","鱼香肉丝(套)",2,"午餐",2015-03-24
"103","土豆丝(套)",2,"午餐",2015-03-24
"104","套餐",2,"早餐",2015-03-24
"105","夹土豆条肉丝饼",2,"晚餐",2015-03-23
"106","大米(小)",2,"午餐",2015-03-23
"107","尖椒肉丝(套)",2,"午餐",2015-03-23
"108","葡萄干蛋糕",2,"早餐",2015-03-23
"109","红烧土豆片(套)",2,"午餐",2015-03-20
"110","大米",2,"午餐",2015-03-20
"111","香菇油菜(套)",2,"午餐",2015-03-20
"112","大米(小)",2,"午餐",2015-03-18
"113","豆角土豆条(套)",2,"午餐",2015-03-18
"114","夹鸡蛋饼",2,"晚餐",2015-03-17
