"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","咖喱鸡块饭",2,"午餐",2015-07-03
"14","营养套餐1",2,"早餐",2015-07-01
"15","营养套餐",2,"早餐",2015-06-28
"16","营养套餐",2,"早餐",2015-06-27
"17","营养套餐",2,"早餐",2015-06-26
"18","皮蛋瘦肉粥",2,"晚餐",2015-06-16
"19","豆角土豆条(套)",2,"午餐",2015-06-16
"20","西红柿炒鸡蛋(套)",2,"午餐",2015-06-16
"21","大米",2,"午餐",2015-06-16
"22","香菇油菜(套)",2,"晚餐",2015-06-11
"23","尖椒肉丝(套)",2,"午餐",2015-06-11
"24","腐竹烧肉(套)",2,"午餐",2015-06-11
"25","豆角土豆条(套)",2,"午餐",2015-06-10
"26","尖椒肉丝(套)",2,"午餐",2015-06-10
"27","大米(小)",2,"午餐",2015-06-10
"28","香辣肉酱面",2,"午餐",2015-06-09
"29","尖椒肉丝(套)",2,"午餐",2015-06-08
"30","大米",3,"午餐",2015-06-08
"31","炒莜面鱼",2,"晚餐",2015-06-05
"32","叉烧肉炒饭",2,"午餐",2015-06-05
"33","红烧排骨面",2,"午餐",2015-06-04
"34","尖椒肉丝(套)",2,"午餐",2015-06-03
"35","大米(小)",2,"午餐",2015-06-03
"36","豆角土豆条(套)",2,"午餐",2015-06-03
"37","叉烧肉炒饭",2,"午餐",2015-06-01
"38","叉烧肉炒饭",2,"午餐",2015-05-29
"39","手撕包菜(套)",2,"午餐",2015-05-27
"40","大米(小)",2,"午餐",2015-05-27
"41","尖椒肉丝(套)",2,"午餐",2015-05-27
"42","香辣鸡块饭",2,"午餐",2015-05-26
"43","红烧排骨面",2,"午餐",2015-05-25
"44","豆角肉丝",2,"午餐",2015-05-22
"45","大米(小)",2,"午餐",2015-05-22
"46","尖椒肉丝(套)",2,"午餐",2015-05-22
"47","营养套餐1",2,"早餐",2015-05-22
"48","甜玉米羹",2,"晚餐",2015-05-21
"49","甜玉米羹",2,"晚餐",2015-05-20
"50","椰蓉饼",2,"晚餐",2015-05-20
"51","叉烧肉炒饭",2,"午餐",2015-05-18
"52","叉烧肉炒饭",2,"午餐",2015-05-18
"53","香菇肉片(套)",2,"午餐",2015-05-15
"54","红烧土豆片(套)",2,"午餐",2015-05-15
"55","大米(小)",2,"午餐",2015-05-15
"56","提子干面包",2,"早餐",2015-05-15
"57","茄子饼",2,"晚餐",2015-05-14
"58","叉烧肉炒饭",3,"午餐",2015-05-14
"59","提子干面包",2,"早餐",2015-05-14
"60","香辣鸡块饭",2,"午餐",2015-05-13
"61","提子干面包",2,"早餐",2015-05-13
"62","清汤牛肉面",2,"午餐",2015-05-12
"63","葡萄干蛋糕",2,"晚餐",2015-05-11
"64","甜玉米羹",2,"晚餐",2015-05-11
"65","茄子饼",2,"晚餐",2015-05-11
"66","菠萝鸡丁",2,"午餐",2015-05-11
"67","大米",2,"午餐",2015-05-11
"68","热狗面包",2,"晚餐",2015-05-08
"69","热狗面包",2,"晚餐",2015-05-07
"70","红烧牛肉面",2,"午餐",2015-05-07
"71","豆角土豆条(套)",2,"午餐",2015-05-06
"72","香菇油菜(套)",2,"午餐",2015-05-06
"73","大米(小)",2,"午餐",2015-05-06
"74","叉烧肉炒饭",2,"午餐",2015-05-05
"75","汉堡",2,"早餐",2015-05-05
"76","大米(小)",2,"午餐",2015-05-04
"77","豆角土豆条(套)",2,"午餐",2015-05-04
"78","尖椒肉丝(套)",2,"午餐",2015-05-04
"79","提子干面包",2,"早餐",2015-05-04
"80","葡萄干蛋糕",2,"午餐",2015-04-29
"81","营养套餐1",2,"早餐",2015-04-29
"82","炒馒头",2,"晚餐",2015-04-28
"83","叉烧肉炒饭",2,"午餐",2015-04-28
"84","提子干面包",2,"早餐",2015-04-28
"85","红豆蛋糕",2,"晚餐",2015-04-27
"86","热干面",2,"晚餐",2015-04-27
"87","南瓜小米粥",2,"晚餐",2015-04-24
"88","豆角土豆条(套)",2,"午餐",2015-04-24
"89","苜蓿肉(套)",2,"午餐",2015-04-24
"90","大米(小)",2,"午餐",2015-04-24
"91","南瓜小米粥",2,"晚餐",2015-04-23
"92","茄子饼",2,"晚餐",2015-04-23
"93","炒焖面",2,"午餐",2015-04-23
"94","红枣酸乳",2,"午餐",2015-04-22
"95","肉酱面",2,"午餐",2015-04-22
"96","营养套餐",2,"早餐",2015-04-22
"97","叉烧肉炒饭",3,"午餐",2015-04-21
"98","肉酱面",2,"午餐",2015-04-16
"99","营养套餐1",2,"早餐",2015-04-16
"100","叉烧肉炒饭",2,"午餐",2015-04-14
"101","提子干面包",2,"早餐",2015-04-14
"102","叉烧肉炒饭",2,"午餐",2015-04-09
"103","炸酱面",2,"晚餐",2015-04-08
"104","大米(小)",2,"午餐",2015-04-08
"105","麻辣豆腐(套)",2,"午餐",2015-04-08
"106","尖椒肉丝(套)",2,"午餐",2015-04-08
"107","南瓜小米粥",2,"晚餐",2015-04-07
"108","蘑菇饼",2,"晚餐",2015-04-07
"109","肉酱面",2,"午餐",2015-04-07
"110","提子干面包",2,"早餐",2015-04-02
"111","茄子饼",2,"晚餐",2015-04-01
"112","南瓜小米粥",2,"晚餐",2015-04-01
"113","豆角土豆条(套)",2,"午餐",2015-04-01
"114","香菇油菜(套)",2,"午餐",2015-04-01
