"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","叉烧肉炒米",2,"午餐",2015-06-24
"14","肉臊子面",2,"午餐",2015-06-19
"15","毛血旺面",2,"晚餐",2015-06-18
"16","皮蛋瘦肉粥",2,"晚餐",2015-06-17
"17","夹火腿饼",2,"晚餐",2015-06-17
"18","皮蛋瘦肉粥",2,"晚餐",2015-06-16
"19","夹火腿饼",2,"晚餐",2015-06-16
"20","尖椒肉丝(套)",2,"午餐",2015-06-16
"21","腐竹烧肉(套)",2,"午餐",2015-06-16
"22","大米",2,"午餐",2015-06-16
"23","肉臊子面",2,"午餐",2015-06-10
"24","培根面包",2,"早餐",2015-06-10
"25","粉条烧肉(套)",2,"午餐",2015-06-08
"26","玉米粒(套)",2,"午餐",2015-06-08
"27","大米",2,"午餐",2015-06-08
"28","红烧鲶鱼(套)",2,"晚餐",2015-06-05
"29","西葫芦炒鸡蛋(套)",2,"晚餐",2015-06-05
"30","香辣鸡块饭",2,"午餐",2015-06-05
"31","叉烧肉炒饭",2,"午餐",2015-06-05
"32","土豆丝(套)",2,"晚餐",2015-06-04
"33","宫保鸡丁(套)",2,"晚餐",2015-06-04
"34","大米",2,"晚餐",2015-06-04
"35","大米(小)",2,"午餐",2015-06-04
"36","香菇油菜(套)",2,"午餐",2015-06-04
"37","大烩菜(套)",2,"午餐",2015-06-04
"38","香辣肉酱面",2,"午餐",2015-06-04
"39","麻辣豆腐(套)",2,"晚餐",2015-06-03
"40","苜蓿肉(套)",2,"晚餐",2015-06-03
"41","大米",2,"晚餐",2015-06-03
"42","糖醋里脊(套)",2,"晚餐",2015-06-03
"43","粉丝菠菜（套）",2,"晚餐",2015-06-03
"44","香菇油菜(套)",2,"午餐",2015-06-03
"45","糖醋里脊(套)",2,"午餐",2015-06-03
"46","红烧牛肉丸(套)",2,"午餐",2015-06-03
"47","干锅土豆片(套)",2,"午餐",2015-06-03
"48","大米",2,"午餐",2015-06-03
"49","麻辣豆腐(套)",2,"午餐",2015-06-02
"50","宫保鸡丁(套)",2,"午餐",2015-06-02
"51","大米",2,"午餐",2015-06-02
"52","宫保鸡丁(套)",2,"午餐",2015-06-02
"53","大米",2,"午餐",2015-06-02
"54","麻辣豆腐(套)",2,"午餐",2015-06-02
"55","太钢汽水",2,"晚餐",2015-06-01
"56","香辣排骨饭",2,"午餐",2015-06-01
"57","太钢汽水",2,"午餐",2015-06-01
"58","热狗面包",2,"早餐",2015-06-01
"59","巧克力蛋糕",2,"早餐",2015-05-28
"60","培根面包",2,"早餐",2015-05-27
"61","蒸饺",2,"午餐",2015-05-26
"62","香辣鸡块饭",2,"午餐",2015-05-26
"63","热狗面包",2,"早餐",2015-05-26
"64","苜蓿肉(套)",2,"午餐",2015-05-25
"65","香菇油菜(套)",2,"午餐",2015-05-25
"66","大米",2,"午餐",2015-05-25
"67","绿豆小米粥",2,"晚餐",2015-05-22
"68","夹土豆条肉丝饼",2,"晚餐",2015-05-22
"69","绿豆小米粥",2,"晚餐",2015-05-22
"70","夹土豆条肉丝饼",2,"晚餐",2015-05-22
"71","香辣排骨饭",2,"午餐",2015-05-22
"72","香辣肉酱面",2,"午餐",2015-05-21
"73","粉条烧肉(套)",2,"午餐",2015-05-18
"74","玉米粒(套)",2,"午餐",2015-05-18
"75","大米",2,"午餐",2015-05-18
"76","叉烧肉炒饭",2,"午餐",2015-05-15
"77","香辣肉酱面",2,"午餐",2015-05-14
"78","热狗面包",2,"早餐",2015-05-14
"79","香辣肉酱面",2,"晚餐",2015-05-13
"80","香辣鸡块饭",2,"午餐",2015-05-13
"81","玉米粒(套)",2,"午餐",2015-05-12
"82","大米",2,"午餐",2015-05-12
"83","糖醋里脊(套)",2,"午餐",2015-05-12
"84","粉条烧肉(套)",2,"午餐",2015-05-11
"85","干锅土豆片(套)",2,"午餐",2015-05-11
"86","大米",2,"午餐",2015-05-11
"87","红烧牛肉丸(套)",2,"午餐",2015-05-08
"88","干锅土豆片(套)",2,"午餐",2015-05-08
"89","大米",2,"午餐",2015-05-08
"90","绿豆小米粥",2,"晚餐",2015-05-07
"91","蘑菇饼",2,"晚餐",2015-05-07
"92","夹土豆条肉丝饼",2,"晚餐",2015-05-05
"93","肉酱面",2,"午餐",2015-05-05
"94","黑椒猪排饭",2,"午餐",2015-05-04
"95","叉烧肉炒饭",2,"午餐",2015-04-30
"96","热饮",2,"晚餐",2015-04-29
"97","鸡丁炒米",2,"午餐",2015-04-29
"98","粉条烧肉(套)",2,"午餐",2015-04-28
"99","干锅土豆片(套)",2,"午餐",2015-04-28
"100","大米",2,"午餐",2015-04-28
"101","热饮",2,"晚餐",2015-04-27
"102","夹土豆条肉丝饼",2,"晚餐",2015-04-27
"103","叉烧肉炒饭",2,"午餐",2015-04-27
"104","叉烧肉炒饭",2,"晚餐",2015-04-24
"105","绿豆小米粥",2,"晚餐",2015-04-24
"106","蘑菇饼",2,"晚餐",2015-04-24
"107","红烧牛肉丸(套)",2,"午餐",2015-04-24
"108","玉米粒(套)",2,"午餐",2015-04-24
"109","大米",2,"午餐",2015-04-24
"110","南瓜小米粥",2,"晚餐",2015-04-23
"111","蘑菇饼",2,"晚餐",2015-04-23
"112","红烧牛肉丸(套)",2,"午餐",2015-04-23
