"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","京酱肉丝米饭",2,"午餐",2015-06-09
"14","大米(小)",2,"午餐",2015-05-15
"15","豆花肉片(套)",2,"午餐",2015-05-15
"16","大米",2,"午餐",2015-05-15
"17","豆角土豆条(套)",2,"午餐",2015-05-15
"18","回锅肉(套)",2,"午餐",2015-05-15
"19","红烧排骨面",2,"午餐",2015-05-05
"20","南瓜小米粥",2,"晚餐",2015-04-29
"21","夹鸡蛋饼",2,"晚餐",2015-04-29
"22","黑椒猪排饭",2,"午餐",2015-04-28
"23","南瓜小米粥",2,"晚餐",2015-03-16
"24","绿豆小米粥",2,"晚餐",2015-03-16
"25","蘑菇饼",2,"晚餐",2015-03-16
"26","南瓜小米粥",2,"晚餐",2015-02-03
"27","素馅饼",2,"晚餐",2015-02-03
"28","汉堡",2,"晚餐",2015-02-02
"29","热饮",2,"晚餐",2015-02-02
"30","南瓜小米粥",2,"晚餐",2015-01-30
"31","南瓜小米粥",2,"晚餐",2015-01-28
"32","素馅饼",2,"晚餐",2015-01-28
"33","蘑菇饼",2,"晚餐",2015-01-26
"34","南瓜小米粥",2,"晚餐",2015-01-26
"35","叉烧肉炒饭",3,"午餐",2015-01-26
"36","红烧排骨面",2,"午餐",2015-01-16
"37","叉烧肉炒饭",2,"午餐",2015-01-15
"38","苜蓿肉(套)",2,"午餐",2015-01-14
"39","红烧土豆片(套)",2,"午餐",2015-01-14
"40","大米",2,"午餐",2015-01-14
"41","叉烧肉炒米",2,"午餐",2015-01-13
"42","南瓜小米粥",2,"晚餐",2015-01-12
"43","蘑菇饼",2,"晚餐",2015-01-12
"44","南瓜小米粥",2,"晚餐",2015-01-09
"45","蘑菇饼",2,"晚餐",2015-01-09
"46","南瓜小米粥",2,"晚餐",2015-01-08
"47","手抓饼",2,"晚餐",2015-01-08
"48","红豆蛋糕",2,"晚餐",2015-01-07
"49","热狗面包",2,"晚餐",2015-01-06
"50","叉烧肉炒米",2,"午餐",2015-01-06
"51","培根面包",2,"晚餐",2015-01-05
"52","火腿排包",2,"晚餐",2015-01-04
"53","培根面包",2,"晚餐",2014-12-30
"54","培根面包",2,"晚餐",2014-12-29
"55","绿茶蛋糕",2,"晚餐",2014-12-26
"56","叉烧肉炒饭",2,"午餐",2014-12-26
"57","培根面包",2,"晚餐",2014-12-25
"58","培根面包",2,"晚餐",2014-12-24
"59","热狗面包",2,"晚餐",2014-12-23
"60","肉松面包",2,"晚餐",2014-12-22
"61","肉松面包",2,"晚餐",2014-12-19
"62","肉松面包",2,"晚餐",2014-12-18
"63","南瓜小米粥",2,"晚餐",2014-12-17
"64","夹火腿饼",2,"晚餐",2014-12-17
"65","绿茶蛋糕",2,"晚餐",2014-12-16
"66","绿茶蛋糕",2,"晚餐",2014-12-15
"67","绿茶蛋糕",2,"晚餐",2014-12-12
"68","绿茶蛋糕",2,"晚餐",2014-12-11
"69","红豆蛋糕",2,"晚餐",2014-12-10
"70","红豆蛋糕",2,"晚餐",2014-12-08
"71","肉松面包",2,"晚餐",2014-12-03
"72","南瓜小米粥",2,"晚餐",2014-12-01
"73","夹里脊饼",2,"晚餐",2014-12-01
"74","南瓜小米粥",2,"晚餐",2014-11-26
"75","南瓜小米粥",2,"晚餐",2014-11-26
"76","鸡蛋灌饼",2,"晚餐",2014-11-26
"77","肉松面包",2,"晚餐",2014-11-14
"78","肉松面包",2,"晚餐",2014-11-13
"79","肉松面包",2,"晚餐",2014-11-12
"80","绿茶蛋糕",2,"晚餐",2014-11-07
"81","热饮",2,"晚餐",2014-11-06
"82","肉松面包",2,"晚餐",2014-11-05
"83","肉松面包",2,"晚餐",2014-10-31
"84","甜玉米羹",2,"晚餐",2014-10-28
"85","夹里脊饼",2,"晚餐",2014-10-28
"86","肉松面包",2,"晚餐",2014-10-24
"87","夹火腿饼",2,"晚餐",2014-10-23
"88","绿豆小米粥",2,"晚餐",2014-10-23
"89","南瓜小米粥",2,"晚餐",2014-10-22
"90","夹火腿饼",2,"晚餐",2014-10-22
"91","苜蓿肉(套)",2,"午餐",2014-10-22
"92","土豆鸡块(套)",2,"午餐",2014-10-22
"93","大米",2,"午餐",2014-10-22
"94","汉堡",2,"晚餐",2014-10-20
"95","热饮",2,"晚餐",2014-10-20
"96","绿豆小米粥",2,"晚餐",2014-10-16
"97","夹火腿饼",2,"晚餐",2014-10-16
"98","绿豆小米粥",2,"晚餐",2014-10-14
"99","手抓饼",2,"晚餐",2014-10-14
"100","提子干面包",2,"晚餐",2014-10-13
"101","炸酱面",2,"午餐",2014-10-12
"102","汉堡",2,"晚餐",2014-10-08
"103","红烧排骨面",2,"午餐",2014-09-30
"104","炸酱面",2,"午餐",2014-09-29
"105","肉松面包",2,"晚餐",2014-09-28
"106","热狗面包",2,"晚餐",2014-09-26
"107","火腿排包",2,"晚餐",2014-09-25
"108","红烧排骨面",2,"午餐",2014-09-25
"109","红烧排骨面",2,"午餐",2014-09-24
"110","绿豆小米粥",2,"晚餐",2014-09-23
"111","手抓饼",2,"晚餐",2014-09-23
"112","热饮",2,"晚餐",2014-09-18
"113","红豆大米粥",2,"晚餐",2014-09-16
"114","手抓饼",2,"晚餐",2014-09-16
"115","皮蛋瘦肉粥",2,"晚餐",2014-09-16
