"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","营养套餐",2,"早餐",2015-07-04
"14","营养套餐",2,"早餐",2015-07-03
"15","营养套餐",2,"早餐",2015-07-02
"16","营养套餐",2,"早餐",2015-07-01
"17","营养套餐",2,"早餐",2015-06-29
"18","营养套餐",2,"早餐",2015-06-28
"19","营养套餐",2,"早餐",2015-06-27
"20","茄子饼",2,"晚餐",2015-06-26
"21","南瓜小米粥",2,"早餐",2015-06-25
"22","大米(小)",2,"午餐",2015-06-24
"23","西葫芦炒鸡蛋(套)",2,"午餐",2015-06-24
"24","南瓜小米粥",2,"早餐",2015-06-23
"25","营养套餐",2,"早餐",2015-06-19
"26","营养套餐",2,"早餐",2015-06-18
"27","营养套餐",2,"早餐",2015-06-18
"28","西红柿鸡蛋面",2,"午餐",2015-06-17
"29","营养套餐",2,"早餐",2015-06-17
"30","营养套餐",2,"早餐",2015-06-16
"31","大米(小)",2,"午餐",2015-06-15
"32","苜蓿肉(套)",2,"午餐",2015-06-15
"33","大米(小)",2,"午餐",2015-06-12
"34","苜蓿肉(套)",2,"午餐",2015-06-12
"35","营养套餐",2,"早餐",2015-06-12
"36","咖喱鸡块饭",2,"午餐",2015-06-11
"37","营养套餐",2,"早餐",2015-06-10
"38","营养套餐",2,"早餐",2015-06-10
"39","火腿炒米",2,"午餐",2015-06-09
"40","营养套餐",2,"早餐",2015-06-09
"41","西红柿鸡蛋面",2,"午餐",2015-06-08
"42","营养套餐",2,"早餐",2015-06-08
"43","西葫芦炒鸡蛋(套)",2,"午餐",2015-06-05
"44","大米(小)",2,"午餐",2015-06-05
"45","营养套餐",2,"早餐",2015-06-05
"46","大米(小)",2,"午餐",2015-06-04
"47","红烧茄子(套)",2,"午餐",2015-06-04
"48","营养套餐",2,"早餐",2015-06-04
"49","炒饼丝",2,"午餐",2015-06-03
"50","营养套餐1",2,"早餐",2015-06-03
"51","西红柿鸡蛋面",2,"午餐",2015-06-02
"52","大米(小)",2,"午餐",2015-06-01
