"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","肉臊子面",2,"午餐",2015-06-26
"14","太钢汽水",2,"午餐",2015-06-25
"15","咖喱鸡块饭",2,"午餐",2015-06-25
"16","菠菜鸡蛋饼",2,"午餐",2015-06-17
"17","玉米棒",2,"午餐",2015-06-17
"18","皮蛋瘦肉粥",2,"晚餐",2015-06-16
"19","夹肉饼",2,"晚餐",2015-06-16
"20","大米(小)",2,"午餐",2015-06-10
"21","豆花肉片(套)",2,"午餐",2015-06-10
"22","茴子白炒粉条(套)",2,"午餐",2015-06-10
"23","辣子鸡块(套)",2,"晚餐",2015-06-08
"24","西红柿鸡蛋面",2,"午餐",2015-06-05
"25","方便面",2,"早餐",2015-06-05
"26","香辣肉酱面",2,"午餐",2015-06-04
"27","香辣鸡块饭",2,"午餐",2015-06-02
"28","香菇肉片(套)",2,"晚餐",2015-06-01
"29","大米",2,"晚餐",2015-06-01
"30","叉烧肉炒饭",2,"午餐",2015-06-01
"31","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-28
"32","手撕包菜(套)",2,"晚餐",2015-05-28
"33","大米",3,"晚餐",2015-05-28
"34","宫保鸡丁(套)",2,"午餐",2015-05-28
"35","大米",2,"午餐",2015-05-28
"36","西芹香干(套)",2,"午餐",2015-05-28
"37","绿豆小米粥",2,"晚餐",2015-05-26
"38","鸡蛋灌饼",2,"晚餐",2015-05-26
"39","果汁",2,"午餐",2015-05-26
"40","西葫芦炒鸡蛋(套)",2,"午餐",2015-05-25
"41","土豆鸡块(套)",2,"午餐",2015-05-25
"42","大米(小)",2,"晚餐",2015-05-13
"43","鱼香肉丝(套)",2,"晚餐",2015-05-13
"44","土豆鸡块(套)",2,"晚餐",2015-05-13
"45","西红柿炒鸡蛋(套)",2,"午餐",2015-05-13
"46","酸辣茄条(套)",2,"午餐",2015-05-13
"47","大米",2,"午餐",2015-05-13
"48","京酱肉丝米饭",2,"午餐",2015-05-12
"49","咖喱牛肉饭",2,"晚餐",2015-05-08
"50","大米(小)",2,"午餐",2015-05-08
"51","香菇肉片(套)",2,"午餐",2015-05-08
"52","大米",2,"午餐",2015-05-08
"53","干炸蘑菇(套)",2,"晚餐",2015-05-07
"54","香菇肉片(套)",2,"晚餐",2015-05-07
"55","大米",2,"晚餐",2015-05-07
"56","香菇油菜(套)",2,"午餐",2015-05-07
"57","糖醋里脊(套)",2,"午餐",2015-05-07
"58","皮蛋瘦肉粥",2,"晚餐",2015-05-06
"59","南瓜小米粥",2,"晚餐",2015-05-06
"60","哈雷蛋糕",2,"早餐",2015-05-06
"61","西芹香干(套)",2,"晚餐",2015-05-05
"62","香辣肉丝(套)",2,"晚餐",2015-05-05
"63","牛肉松蛋糕",2,"早餐",2015-05-05
"64","干炸蘑菇(套)",2,"晚餐",2015-05-04
"65","香菇肉片(套)",2,"晚餐",2015-05-04
"66","西葫芦炒鸡蛋(套)",2,"午餐",2015-05-04
"67","土豆鸡块(套)",2,"午餐",2015-05-04
"68","大米",2,"午餐",2015-05-04
"69","牛肉松蛋糕",2,"早餐",2015-04-30
"70","大米",2,"晚餐",2015-04-29
"71","鱼香肉丝(套)",2,"晚餐",2015-04-29
"72","尖椒肉丝(套)",2,"晚餐",2015-04-29
"73","手撕包菜(套)",2,"晚餐",2015-04-29
"74","大米",2,"晚餐",2015-04-29
"75","叉烧肉炒饭",2,"午餐",2015-04-28
"76","牛肉松蛋糕",2,"早餐",2015-04-28
"77","叉烧肉炒饭",2,"午餐",2015-04-24
"78","牛肉炒米",2,"午餐",2015-04-23
"79","红枣酸乳",2,"早餐",2015-04-23
"80","黄焖鸡面",2,"午餐",2015-04-22
"81","京酱肉丝卷饼",2,"早餐",2015-04-22
"82","热饮",2,"早餐",2015-04-22
"83","炸薯条",2,"晚餐",2015-04-16
"84","西红柿鸡蛋面",2,"晚餐",2015-04-16
"85","大米",2,"晚餐",2015-04-14
"86","大米(小)",2,"晚餐",2015-04-14
"87","西红柿炒鸡蛋(套)",2,"晚餐",2015-04-14
"88","手撕包菜(套)",2,"晚餐",2015-04-14
"89","西红柿炒鸡蛋(套)",2,"晚餐",2015-04-13
"90","西红柿炒鸡蛋(套)",2,"晚餐",2015-04-13
"91","酸辣鸭血(套)",2,"晚餐",2015-04-13
"92","黑椒猪排饭",2,"午餐",2015-04-13
"93","叉烧肉炒饭",2,"晚餐",2015-04-10
"94","红豆蛋糕",2,"早餐",2015-04-10
"95","热饮",2,"早餐",2015-04-10
"96","大米(小)",2,"晚餐",2015-04-09
"97","香菇肉片(套)",2,"晚餐",2015-04-09
"98","香菇油菜(套)",2,"晚餐",2015-04-09
"99","菜花炒肉(套)",2,"午餐",2015-04-09
"100","大米(小)",2,"午餐",2015-04-09
"101","香菇油菜(套)",2,"午餐",2015-04-09
"102","炸酱面",2,"午餐",2015-04-08
"103","大米",2,"午餐",2015-04-07
"104","家常豆腐(套)",2,"午餐",2015-04-07
"105","酸辣鸭血(套)",2,"午餐",2015-04-07
"106","炸酱面",2,"晚餐",2015-04-03
"107","热饮",2,"早餐",2015-04-03
"108","黑椒猪排饭",2,"晚餐",2015-04-02
"109","叉烧肉炒饭",2,"午餐",2015-04-02
"110","热饮",2,"早餐",2015-04-02
