"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","蛋挞",2,"晚餐",2015-06-12
"14","西红柿鸡蛋面",2,"晚餐",2015-06-05
"15","优酸乳(盒)",2,"晚餐",2015-05-25
"16","三角海绵蛋糕",2,"晚餐",2015-03-23
"17","培根面包",2,"晚餐",2015-03-23
"18","黑米粥",2,"晚餐",2015-03-12
"19","大肉串",2,"晚餐",2015-03-11
"20","绿豆小米粥",2,"晚餐",2015-03-11
"21","肉串",2,"晚餐",2015-03-10
"22","黑米粥",2,"晚餐",2015-03-10
"23","素馅饼",2,"晚餐",2015-03-10
"24","热狗面包",2,"晚餐",2015-02-04
"25","热狗面包",2,"晚餐",2015-02-03
"26","红枣酸乳",2,"晚餐",2014-11-07
"27","红枣酸乳",2,"晚餐",2014-11-07
"28","大米(小)",2,"晚餐",2014-10-22
"29","三鲜娃娃菜(套)",2,"晚餐",2014-10-22
"30","粉条烧肉(套)",2,"晚餐",2014-10-22
"31","烤肠",2,"晚餐",2014-10-22
"32","南瓜小米粥",2,"晚餐",2014-10-17
"33","手抓饼",2,"晚餐",2014-10-16
"34","夹鸡蛋饼",2,"晚餐",2014-10-16
"35","皮蛋瘦肉粥",2,"晚餐",2014-10-16
"36","黑米粥",2,"晚餐",2014-10-14
"37","黑米粥",2,"晚餐",2014-10-13
"38","三角海绵蛋糕",2,"晚餐",2014-10-09
"39","黑米粥",2,"晚餐",2014-10-09
"40","黑米粥",2,"晚餐",2014-10-08
"41","红豆大米粥",2,"晚餐",2014-09-29
"42","黑米粥",2,"晚餐",2014-09-28
"43","黑米粥",2,"晚餐",2014-09-26
"44","黑米粥",2,"晚餐",2014-09-25
"45","绿豆小米粥",2,"晚餐",2014-09-24
"46","红豆大米粥",2,"晚餐",2014-09-23
"47","茄子饼",2,"晚餐",2014-09-22
"48","黑米粥",2,"晚餐",2014-09-19
"49","黑米粥",2,"晚餐",2014-09-18
"50","黑米粥",2,"晚餐",2014-09-17
"51","热饮",2,"晚餐",2014-09-17
"52","鲜奶夹心面包",2,"晚餐",2014-09-17
"53","手抓饼",2,"晚餐",2014-09-15
"54","黑米粥",2,"晚餐",2014-09-09
"55","素馅饼",2,"晚餐",2014-09-09
"56","南瓜小米粥",2,"晚餐",2014-09-05
"57","黑米粥",2,"晚餐",2014-09-05
"58","刷酱饼",2,"早餐",2014-09-04
"59","南瓜小米粥",2,"晚餐",2014-09-03
"60","茄子饼",2,"晚餐",2014-09-03
"61","夹火腿饼",2,"晚餐",2014-09-03
"62","黑米粥",2,"晚餐",2014-09-02
"63","素馅饼",2,"晚餐",2014-09-02
