"","Dine","Share","Type","Date"
"20","苜蓿肉(套)",1,"午餐",2015-03-18
"21","大米(小)",1,"午餐",2015-03-18
"22","干炸蘑菇(套)",1,"午餐",2015-03-18
"23","250冠益乳",1,"午餐",2015-02-06
"24","优益C",1,"午餐",2015-02-06
"25","雪菜肉丝面",1,"午餐",2015-02-06
"26","热狗面包",1,"晚餐",2015-01-08
"27","炒馒头",1,"晚餐",2014-12-24
"28","学生奶",2,"晚餐",2014-12-17
"29","皮蛋瘦肉粥",1,"晚餐",2014-12-10
"30","夹鸡蛋饼",1,"晚餐",2014-12-10
"31","红豆蛋糕",1,"晚餐",2014-12-08
"32","三鲜娃娃菜(套)",1,"晚餐",2014-12-08
"33","烤肠",1,"晚餐",2014-12-05
"34","热狗面包",1,"晚餐",2014-12-05
"35","汉堡",1,"晚餐",2014-11-17
"36","学生奶",1,"晚餐",2014-11-12
"37","学生奶",2,"晚餐",2014-11-12
"38","学生奶",1,"晚餐",2014-11-10
"39","皮蛋瘦肉粥",1,"晚餐",2014-11-10
"40","小笼包/肉",1,"晚餐",2014-11-07
"41","优益C",1,"午餐",2014-10-29
"42","绿豆小米粥",1,"晚餐",2014-10-28
"43","南瓜饼",1,"晚餐",2014-10-28
"44","红烧牛肉面",1,"午餐",2014-10-28
"45","热饮",1,"早餐",2014-10-28
"46","优益C",1,"午餐",2014-10-27
"47","皮蛋瘦肉粥",1,"晚餐",2014-10-21
"48","夹鸡蛋饼",1,"晚餐",2014-10-21
"49","优益C",1,"晚餐",2014-10-20
"50","甜玉米羹",1,"晚餐",2014-10-10
"51","夹鸡蛋饼",1,"晚餐",2014-10-10
"52","西红柿鸡蛋面",1,"午餐",2014-09-30
"53","汉堡",1,"晚餐",2014-09-22
"54","汉堡",1,"晚餐",2014-09-04
"55","火腿炒米",1,"午餐",2014-09-01
