"","Dine","Share","Type","Date"
"20","肉臊子面",1,"午餐",2015-06-26
"21","太钢汽水",1,"午餐",2015-06-25
"22","咖喱鸡块饭",1,"午餐",2015-06-25
"23","菠菜鸡蛋饼",1,"午餐",2015-06-17
"24","玉米棒",1,"午餐",2015-06-17
"25","皮蛋瘦肉粥",1,"晚餐",2015-06-16
"26","夹肉饼",1,"晚餐",2015-06-16
"27","大米(小)",1,"午餐",2015-06-10
"28","豆花肉片(套)",1,"午餐",2015-06-10
"29","茴子白炒粉条(套)",1,"午餐",2015-06-10
"30","辣子鸡块(套)",1,"晚餐",2015-06-08
"31","西红柿鸡蛋面",1,"午餐",2015-06-05
"32","方便面",1,"早餐",2015-06-05
"33","香辣肉酱面",1,"午餐",2015-06-04
"34","香辣鸡块饭",1,"午餐",2015-06-02
"35","香菇肉片(套)",1,"晚餐",2015-06-01
"36","大米",1,"晚餐",2015-06-01
"37","叉烧肉炒饭",1,"午餐",2015-06-01
"38","西红柿炒鸡蛋(套)",1,"晚餐",2015-05-28
"39","手撕包菜(套)",1,"晚餐",2015-05-28
"40","大米",2,"晚餐",2015-05-28
"41","宫保鸡丁(套)",1,"午餐",2015-05-28
"42","大米",1,"午餐",2015-05-28
"43","西芹香干(套)",1,"午餐",2015-05-28
"44","绿豆小米粥",1,"晚餐",2015-05-26
"45","鸡蛋灌饼",1,"晚餐",2015-05-26
"46","果汁",1,"午餐",2015-05-26
"47","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-25
"48","土豆鸡块(套)",1,"午餐",2015-05-25
"49","大米(小)",1,"晚餐",2015-05-13
"50","鱼香肉丝(套)",1,"晚餐",2015-05-13
"51","土豆鸡块(套)",1,"晚餐",2015-05-13
"52","西红柿炒鸡蛋(套)",1,"午餐",2015-05-13
"53","酸辣茄条(套)",1,"午餐",2015-05-13
"54","大米",1,"午餐",2015-05-13
"55","京酱肉丝米饭",1,"午餐",2015-05-12
"56","咖喱牛肉饭",1,"晚餐",2015-05-08
"57","大米(小)",1,"午餐",2015-05-08
"58","香菇肉片(套)",1,"午餐",2015-05-08
"59","大米",1,"午餐",2015-05-08
"60","干炸蘑菇(套)",1,"晚餐",2015-05-07
"61","香菇肉片(套)",1,"晚餐",2015-05-07
"62","大米",1,"晚餐",2015-05-07
"63","香菇油菜(套)",1,"午餐",2015-05-07
"64","糖醋里脊(套)",1,"午餐",2015-05-07
"65","皮蛋瘦肉粥",1,"晚餐",2015-05-06
"66","南瓜小米粥",1,"晚餐",2015-05-06
"67","哈雷蛋糕",1,"早餐",2015-05-06
"68","西芹香干(套)",1,"晚餐",2015-05-05
"69","香辣肉丝(套)",1,"晚餐",2015-05-05
"70","牛肉松蛋糕",1,"早餐",2015-05-05
"71","干炸蘑菇(套)",1,"晚餐",2015-05-04
"72","香菇肉片(套)",1,"晚餐",2015-05-04
"73","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-04
"74","土豆鸡块(套)",1,"午餐",2015-05-04
"75","大米",1,"午餐",2015-05-04
"76","牛肉松蛋糕",1,"早餐",2015-04-30
"77","大米",1,"晚餐",2015-04-29
"78","鱼香肉丝(套)",1,"晚餐",2015-04-29
"79","尖椒肉丝(套)",1,"晚餐",2015-04-29
"80","手撕包菜(套)",1,"晚餐",2015-04-29
"81","大米",1,"晚餐",2015-04-29
"82","叉烧肉炒饭",1,"午餐",2015-04-28
"83","牛肉松蛋糕",1,"早餐",2015-04-28
"84","叉烧肉炒饭",1,"午餐",2015-04-24
"85","牛肉炒米",1,"午餐",2015-04-23
"86","红枣酸乳",1,"早餐",2015-04-23
"87","黄焖鸡面",1,"午餐",2015-04-22
"88","京酱肉丝卷饼",1,"早餐",2015-04-22
"89","热饮",1,"早餐",2015-04-22
"90","炸薯条",1,"晚餐",2015-04-16
"91","西红柿鸡蛋面",1,"晚餐",2015-04-16
"92","大米",1,"晚餐",2015-04-14
"93","大米(小)",1,"晚餐",2015-04-14
"94","西红柿炒鸡蛋(套)",1,"晚餐",2015-04-14
"95","手撕包菜(套)",1,"晚餐",2015-04-14
"96","西红柿炒鸡蛋(套)",1,"晚餐",2015-04-13
"97","西红柿炒鸡蛋(套)",1,"晚餐",2015-04-13
"98","酸辣鸭血(套)",1,"晚餐",2015-04-13
"99","黑椒猪排饭",1,"午餐",2015-04-13
"100","叉烧肉炒饭",1,"晚餐",2015-04-10
"101","红豆蛋糕",1,"早餐",2015-04-10
"102","热饮",1,"早餐",2015-04-10
"103","大米(小)",1,"晚餐",2015-04-09
"104","香菇肉片(套)",1,"晚餐",2015-04-09
"105","香菇油菜(套)",1,"晚餐",2015-04-09
"106","菜花炒肉(套)",1,"午餐",2015-04-09
"107","大米(小)",1,"午餐",2015-04-09
"108","香菇油菜(套)",1,"午餐",2015-04-09
"109","炸酱面",1,"午餐",2015-04-08
"110","大米",1,"午餐",2015-04-07
"111","家常豆腐(套)",1,"午餐",2015-04-07
"112","酸辣鸭血(套)",1,"午餐",2015-04-07
"113","炸酱面",1,"晚餐",2015-04-03
"114","热饮",1,"早餐",2015-04-03
"115","黑椒猪排饭",1,"晚餐",2015-04-02
"116","叉烧肉炒饭",1,"午餐",2015-04-02
"117","热饮",1,"早餐",2015-04-02
"118","培根面包",1,"早餐",2015-04-02
"119","热饮",1,"午餐",2015-04-01
"120","黑椒猪排饭",1,"午餐",2015-04-01
"121","绿豆小米粥",1,"晚餐",2015-03-31
"122","茄子饼",1,"晚餐",2015-03-31
"123","红烧土豆鸡块面",1,"午餐",2015-03-31
"124","炸酱面",1,"午餐",2015-03-30
"125","黄焖鸡块面",1,"晚餐",2015-03-27
"126","优酸乳(袋)",1,"午餐",2015-03-27
"127","素三丁面",1,"午餐",2015-03-27
"128","鸡蛋灌饼",1,"晚餐",2015-03-24
"129","汉堡",1,"晚餐",2015-03-23
"130","豆浆",1,"早餐",2015-03-09
"131","素馅饼",1,"早餐",2015-03-09
"132","汉堡",1,"早餐",2015-02-06
"133","汉堡",1,"早餐",2015-02-05
"134","红豆蛋糕",1,"早餐",2015-02-04
"135","卤鸡蛋",1,"午餐",2015-02-03
"136","素打卤面",1,"午餐",2015-02-03
"137","套餐",1,"早餐",2015-01-31
"138","南瓜小米粥",1,"午餐",2015-01-21
"139","土豆汉堡",1,"午餐",2015-01-21
"140","南瓜小米粥",1,"晚餐",2015-01-19
"141","夹里脊饼",1,"晚餐",2015-01-19
"142","叉烧肉炒饭",1,"午餐",2015-01-16
"143","叉烧肉炒饭",1,"午餐",2015-01-15
"144","火腿排包",1,"早餐",2015-01-15
"145","叉烧肉炒饭",1,"午餐",2015-01-14
"146","热狗面包",1,"早餐",2015-01-09
"147","牛肉炒米",1,"午餐",2015-01-08
"148","热狗面包",1,"早餐",2015-01-08
"149","炸酱面",1,"晚餐",2015-01-07
"150","火腿炒米",1,"午餐",2015-01-07
"151","培根面包",1,"早餐",2015-01-07
"152","优酸乳(袋)",1,"早餐",2015-01-07
"153","优酸乳(袋)",1,"晚餐",2015-01-06
"154","南瓜小米粥",1,"晚餐",2015-01-06
"155","茄子饼",1,"晚餐",2015-01-06
"156","培根面包",1,"早餐",2015-01-06
"157","夹土豆条肉丝饼",1,"晚餐",2015-01-05
"158","毛血旺面",1,"午餐",2015-01-05
"159","牛肉松蛋糕",1,"早餐",2015-01-05
"160","学生奶",1,"晚餐",2015-01-04
"161","炸酱面",1,"晚餐",2015-01-04
"162","西红柿炒鸡蛋(套)",1,"午餐",2015-01-04
"163","酸辣鸭血(套)",1,"午餐",2015-01-04
"164","大米",1,"午餐",2015-01-04
"165","叉烧肉炒饭",1,"午餐",2014-12-26
"166","炸酱面",1,"晚餐",2014-12-25
"167","汉堡",1,"早餐",2014-12-25
"168","酱香三丁面",1,"午餐",2014-12-24
"169","汉堡",1,"早餐",2014-12-24
"170","南瓜小米粥",1,"晚餐",2014-12-23
"171","夹鸡蛋饼",1,"晚餐",2014-12-23
"172","黄焖鸡面",1,"午餐",2014-12-23
"173","砂锅炖菜（套）",1,"晚餐",2014-12-22
"174","小笼包/肉",1,"午餐",2014-12-22
"175","南瓜小米粥",1,"晚餐",2014-12-18
"176","南瓜小米粥",1,"晚餐",2014-12-18
"177","夹鸡蛋饼",1,"晚餐",2014-12-18
"178","砂锅焖面",1,"午餐",2014-12-18
