"","Dine","Share","Type","Date"
"20","营养套餐",1,"早餐",2015-08-03
"21","豆花肉片(套)",1,"午餐",2015-07-02
"22","大米",1,"午餐",2015-07-02
"23","红烧土豆片(套)",1,"午餐",2015-06-28
"24","茴子白炒粉条(套)",1,"午餐",2015-06-28
"25","刷酱饼",1,"晚餐",2015-06-24
"26","大米(小)",1,"午餐",2015-06-24
"27","葱爆肉(套)",1,"午餐",2015-06-24
"28","大米",1,"午餐",2015-06-24
"29","豆花肉片(套)",1,"午餐",2015-06-19
"30","大米",1,"午餐",2015-06-19
"31","刷酱饼",1,"晚餐",2015-06-12
"32","夹火腿饼",1,"晚餐",2015-06-10
"33","西芹香干(套)",1,"午餐",2015-06-09
"34","土豆丝(套)",1,"午餐",2015-06-09
"35","大米",1,"午餐",2015-06-09
"36","优酸乳(袋)",1,"早餐",2015-06-09
"37","250冠益乳",1,"早餐",2015-06-05
"38","大米(小)",1,"午餐",2015-06-04
"39","麻辣豆腐(套)",1,"午餐",2015-06-04
"40","宫保鸡丁(套)",1,"午餐",2015-06-04
"41","辣子鸡块(套)",1,"午餐",2015-05-22
"42","大米",1,"午餐",2015-05-22
"43","优酸乳(盒)",1,"晚餐",2015-05-21
"44","红枣酸乳",1,"早餐",2015-05-21
"45","鱼香肉丝(套)",1,"午餐",2015-05-14
"46","大米(小)",1,"午餐",2015-05-14
"47","苜蓿肉(套)",1,"午餐",2015-05-08
"48","红烧土豆片(套)",1,"午餐",2015-05-08
"49","大米",1,"午餐",2015-05-08
"50","优益C",1,"早餐",2015-05-08
"51","皮蛋瘦肉粥",1,"晚餐",2015-05-07
"52","素馅饼",1,"晚餐",2015-05-07
"53","蘑菇饼",1,"晚餐",2015-05-07
"54","大米(小)",1,"午餐",2015-05-05
"55","干锅土豆片(套)",1,"午餐",2015-05-05
"56","手撕包菜(套)",1,"午餐",2015-05-05
"57","红枣酸乳",1,"早餐",2015-05-05
"58","红烧茄子(套)",1,"晚餐",2015-04-27
"59","豆角土豆条(套)",1,"晚餐",2015-04-27
"60","优酸乳(盒)",1,"晚餐",2015-04-16
"61","红枣酸乳",1,"午餐",2015-04-16
"62","大米",1,"午餐",2015-04-16
"63","菠萝鸡丁",1,"午餐",2015-04-16
"64","干炸蘑菇(套)",1,"午餐",2015-04-16
"65","干炸蘑菇(套)",1,"午餐",2015-04-16
"66","麻辣豆腐(套)",1,"午餐",2015-04-16
"67","大米",1,"午餐",2015-04-16
"68","皮蛋瘦肉粥",1,"晚餐",2015-04-13
"69","素馅饼",1,"晚餐",2015-04-13
"70","茄子饼",1,"晚餐",2015-04-13
"71","辣子鸡块(套)",1,"午餐",2015-04-10
"72","大米",1,"午餐",2015-04-10
"73","红烧鲶鱼(套)",1,"午餐",2015-04-09
"74","大米",1,"午餐",2015-04-09
"75","苜蓿肉(套)",1,"午餐",2015-04-08
"76","葱爆肉(套)",1,"午餐",2015-04-08
"77","大米",1,"午餐",2015-04-08
"78","大米(小)",1,"午餐",2015-04-08
"79","红烧土豆片(套)",1,"午餐",2015-04-08
"80","鱼香肉丝(套)",1,"午餐",2015-04-08
"81","热狗面包",1,"早餐",2015-04-01
"82","优益C",1,"早餐",2015-04-01
"83","三角海绵蛋糕",1,"晚餐",2015-03-30
"84","热狗面包",1,"晚餐",2015-03-30
"85","大米(小)",1,"午餐",2015-03-26
"86","大烩菜(套)",1,"午餐",2015-03-26
"87","砂锅炖菜（套）",1,"午餐",2015-03-24
"88","叉烧肉炒饭",1,"午餐",2015-03-23
"89","叉烧肉炒饭",1,"午餐",2015-03-23
"90","哈雷蛋糕",1,"早餐",2015-03-23
"91","绿豆小米粥",1,"晚餐",2015-03-20
"92","茄子饼",1,"晚餐",2015-03-20
"93","大米(小)",1,"午餐",2015-03-20
"94","干锅土豆片(套)",1,"午餐",2015-03-20
"95","尖椒肉丝(套)",1,"午餐",2015-03-20
"96","南瓜小米粥",1,"早餐",2015-03-20
"97","夹土豆丝饼",1,"早餐",2015-03-20
"98","大米(小)",1,"午餐",2015-03-19
"99","土豆丝(套)",1,"午餐",2015-03-19
"100","宫保鸡丁(套)",1,"午餐",2015-03-19
"101","莫斯利安",1,"早餐",2015-03-19
"102","营养套餐",1,"早餐",2015-03-19
"103","学生奶",1,"晚餐",2015-03-18
"104","学生奶",1,"晚餐",2015-03-18
"105","家常豆腐(套)",1,"午餐",2015-03-17
"106","大米(小)",1,"午餐",2015-03-17
"107","干锅土豆片(套)",1,"午餐",2015-03-17
"108","营养套餐",1,"早餐",2015-03-17
"109","怡宝",1,"晚餐",2015-03-15
"110","金典牛奶",1,"早餐",2015-01-27
"111","炒凉皮",1,"午餐",2015-01-26
"112","怡宝",1,"早餐",2015-01-22
"113","学生奶",2,"早餐",2015-01-22
"114","汉堡",1,"晚餐",2015-01-19
"115","豆角土豆条(套)",1,"午餐",2015-01-19
"116","茴子白炒粉条(套)",1,"午餐",2015-01-19
"117","大米",1,"午餐",2015-01-19
"118","学生奶",1,"早餐",2015-01-19
"119","学生奶",1,"晚餐",2015-01-18
"120","热狗面包",1,"早餐",2015-01-16
"121","油条",1,"早餐",2015-01-16
"122","250冠益乳",1,"早餐",2015-01-15
"123","营养套餐1",1,"早餐",2015-01-14
"124","大米(小)",1,"午餐",2015-01-13
"125","麻辣豆腐(套)",1,"午餐",2015-01-13
"126","土豆丝(套)",1,"午餐",2015-01-13
"127","优酸乳(盒)",1,"早餐",2015-01-13
"128","营养套餐",1,"早餐",2015-01-13
"129","250冠益乳",1,"晚餐",2015-01-12
"130","学生奶",1,"早餐",2015-01-08
"131","红枣酸乳",1,"午餐",2015-01-07
"132","鸡丁炒米",1,"午餐",2015-01-05
"133","学生奶",1,"早餐",2015-01-05
"134","巧克力蛋糕",1,"早餐",2015-01-05
"135","学生奶",1,"晚餐",2015-01-04
"136","热狗面包",1,"晚餐",2015-01-04
"137","豆浆",1,"午餐",2015-01-04
"138","砂锅炖菜（套）",1,"午餐",2014-12-30
"139","学生奶",1,"早餐",2014-12-30
"140","学生奶",1,"早餐",2014-12-30
"141","哈雷蛋糕",1,"早餐",2014-12-30
"142","砂锅炖菜（套）",1,"晚餐",2014-12-26
"143","优酸乳(袋)",1,"午餐",2014-12-26
"144","大米(小)",1,"午餐",2014-12-26
"145","干锅土豆片(套)",1,"午餐",2014-12-26
"146","酸菜粉条(套)",1,"午餐",2014-12-26
"147","汤面",1,"早餐",2014-12-23
"148","大米",1,"午餐",2014-12-22
"149","苜蓿肉(套)",1,"午餐",2014-12-22
"150","大烩菜(套)",1,"午餐",2014-12-22
"151","拌汤",1,"早餐",2014-12-22
"152","牛肉烩饼",1,"晚餐",2014-12-19
"153","大米(小)",1,"午餐",2014-12-19
"154","西葫芦炒鸡蛋(套)",1,"午餐",2014-12-19
"155","营养套餐",1,"早餐",2014-12-19
"156","牛肉烩饼",1,"午餐",2014-12-18
"157","学生奶",1,"早餐",2014-12-18
"158","酱香三丁面",1,"午餐",2014-12-12
"159","卤鸡蛋",1,"午餐",2014-12-12
"160","酱香三丁面",1,"午餐",2014-12-12
"161","学生奶",1,"早餐",2014-12-12
"162","热饮",1,"早餐",2014-12-11
"163","优酸乳(盒)",1,"晚餐",2014-12-10
"164","叉烧肉炒饭",1,"晚餐",2014-12-10
"165","手撕包菜(套)",1,"午餐",2014-12-09
"166","大米(小)",1,"午餐",2014-12-09
"167","玉米粒(套)",1,"午餐",2014-12-09
"168","馄饨",1,"早餐",2014-12-09
