"","Dine","Share","Type","Date"
"20","红烧牛肉面",1,"午餐",2015-08-07
"21","咖喱鸡块饭",1,"午餐",2015-07-02
"22","大米(小)",1,"午餐",2015-07-02
"23","红烧牛肉面",1,"午餐",2015-06-27
"24","番茄牛肉饭",1,"午餐",2015-06-26
"25","大米(小)",1,"午餐",2015-06-26
"26","甜玉米羹",1,"晚餐",2015-06-24
"27","皮蛋瘦肉粥",1,"晚餐",2015-06-24
"28","咖喱鸡块饭",1,"午餐",2015-06-24
"29","大米(小)",1,"午餐",2015-06-24
"30","绿豆小米粥",1,"晚餐",2015-06-23
"31","咖喱鸡块饭",1,"午餐",2015-06-19
"32","红烧牛肉面",1,"午餐",2015-06-18
"33","红烧牛肉丸(套)",1,"午餐",2015-06-16
"34","酸辣鸭血(套)",1,"午餐",2015-06-16
"35","番茄牛肉饭",1,"晚餐",2015-06-15
"36","大米(小)",1,"晚餐",2015-06-15
"37","咖喱鸡块饭",1,"午餐",2015-06-11
"38","大米(小)",1,"午餐",2015-06-11
"39","番茄牛肉饭",1,"午餐",2015-06-11
"40","香辣肉酱面",1,"午餐",2015-06-09
"41","甜玉米羹",1,"晚餐",2015-06-08
"42","叉烧肉炒饭",2,"午餐",2015-06-08
"43","蛋挞",1,"晚餐",2015-06-05
"44","优酸乳(盒)",1,"晚餐",2015-06-05
"45","甜玉米羹",1,"晚餐",2015-06-05
"46","皮蛋瘦肉粥",1,"晚餐",2015-06-05
"47","叉烧肉炒饭",1,"午餐",2015-06-04
"48","甜玉米羹",1,"晚餐",2015-06-03
"49","黑椒猪排饭",1,"午餐",2015-06-03
"50","大米",2,"午餐",2015-06-03
"51","叉烧肉炒饭",1,"午餐",2015-06-02
"52","南瓜小米粥",1,"晚餐",2015-06-01
"53","豆角肉丝",1,"午餐",2015-06-01
"54","腐竹烧肉(套)",1,"午餐",2015-06-01
"55","大米",1,"午餐",2015-06-01
"56","菠萝肉片",1,"午餐",2015-05-29
"57","辣子鸡块(套)",1,"午餐",2015-05-29
"58","热饮",1,"午餐",2015-05-28
"59","香辣肉酱面",1,"午餐",2015-05-28
"60","肉包子",1,"晚餐",2015-05-27
"61","甜玉米羹",1,"晚餐",2015-05-27
"62","红烧牛肉面",1,"午餐",2015-05-27
"63","叉烧肉炒饭",2,"午餐",2015-05-26
"64","红烧肉(套)",1,"午餐",2015-05-25
"65","干锅土豆片(套)",1,"午餐",2015-05-25
"66","大米",1,"午餐",2015-05-25
"67","大米(小)",1,"午餐",2015-05-25
"68","果汁",1,"晚餐",2015-05-22
"69","番茄牛肉饭",1,"晚餐",2015-05-22
"70","大米(小)",1,"晚餐",2015-05-22
"71","干锅土豆片(套)",1,"午餐",2015-05-22
"72","家常豆腐(套)",1,"午餐",2015-05-22
"73","大米",1,"午餐",2015-05-22
"74","叉烧肉炒饭",1,"午餐",2015-05-22
"75","叉烧肉炒饭",1,"午餐",2015-05-21
"76","甜玉米羹",1,"晚餐",2015-05-20
"77","番茄牛肉饭",1,"晚餐",2015-05-20
"78","番茄牛肉饭",1,"晚餐",2015-05-20
"79","哈雷蛋糕",1,"晚餐",2015-05-14
"80","果汁",1,"晚餐",2015-05-14
"81","大盘鸡面",1,"晚餐",2015-05-14
"82","香辣肉酱面",1,"午餐",2015-05-13
"83","哈雷蛋糕",1,"晚餐",2015-05-12
"84","红烧牛肉面",1,"晚餐",2015-05-12
"85","京酱肉丝米饭",1,"午餐",2015-05-12
"86","大米(小)",1,"午餐",2015-05-12
"87","京酱肉丝米饭",1,"午餐",2015-05-12
"88","黑椒猪排饭",1,"午餐",2015-05-11
"89","大米",1,"午餐",2015-05-11
"90","热饮",1,"午餐",2015-05-09
"91","红烧牛肉面",1,"午餐",2015-05-09
"92","咖喱牛肉饭",1,"午餐",2015-05-08
"93","大米",1,"午餐",2015-05-08
"94","南瓜小米粥",1,"晚餐",2015-05-07
"95","卤鸡蛋",1,"晚餐",2015-05-07
"96","雪菜肉丝面",1,"晚餐",2015-05-07
"97","叉烧肉炒饭",1,"午餐",2015-05-07
"98","蛋挞",1,"晚餐",2015-05-06
"99","清汤牛肉面",1,"晚餐",2015-05-06
"100","咖喱牛肉饭",1,"午餐",2015-05-06
"101","肉包子",1,"晚餐",2015-05-05
"102","红烧牛肉面",1,"晚餐",2015-05-05
"103","辣子鸡块(套)",1,"午餐",2015-05-05
"104","大米",1,"午餐",2015-05-05
"105","西芹香干(套)",1,"午餐",2015-05-05
"106","红烧牛肉面",1,"晚餐",2015-05-04
"107","叉烧肉炒饭",1,"午餐",2015-05-04
"108","叉烧肉炒饭",1,"午餐",2015-04-30
"109","炸酱面",1,"晚餐",2015-04-29
"110","卤鸡蛋",1,"晚餐",2015-04-29
"111","叉烧肉炒饭",1,"午餐",2015-04-29
"112","绿茶蛋糕",1,"晚餐",2015-04-28
"113","黑椒猪排饭",1,"晚餐",2015-04-28
"114","肉酱面",1,"午餐",2015-04-28
"115","黑米粥",1,"晚餐",2015-04-27
"116","叉烧肉炒饭",1,"午餐",2015-04-27
"117","叉烧肉炒饭",1,"午餐",2015-04-24
"118","优酸乳(袋)",1,"晚餐",2015-04-23
"119","卤鸡蛋",1,"晚餐",2015-04-23
"120","肉臊子面",1,"晚餐",2015-04-23
"121","蛋挞",1,"午餐",2015-04-23
"122","黑椒猪排饭",1,"午餐",2015-04-23
"123","蛋挞",1,"午餐",2015-04-22
"124","蛋挞",1,"午餐",2015-04-22
"125","清汤牛肉面",1,"午餐",2015-04-22
"126","叉烧肉炒饭",1,"午餐",2015-04-21
"127","大米(小)",1,"午餐",2015-04-20
"128","腐竹烧肉(套)",1,"午餐",2015-04-20
"129","手撕包菜(套)",1,"午餐",2015-04-20
"130","大米",1,"午餐",2015-04-20
"131","糖醋里脊(套)",2,"午餐",2015-04-17
"132","西葫芦炒鸡蛋(套)",1,"午餐",2015-04-17
"133","大米(小)",1,"午餐",2015-04-17
"134","辣子鸡块(套)",1,"午餐",2015-04-17
"135","大烩菜(套)",1,"午餐",2015-04-17
"136","大米",1,"午餐",2015-04-17
"137","黄焖鸡米饭",1,"午餐",2015-04-16
"138","甜玉米羹",1,"晚餐",2015-04-15
"139","南瓜饼",2,"晚餐",2015-04-15
"140","叉烧肉炒饭",1,"午餐",2015-04-15
"141","优酸乳(袋)",1,"晚餐",2015-04-14
"142","西红柿鸡蛋面",1,"晚餐",2015-04-14
