"","Dine","Share","Type","Date"
"20","红烧牛肉面",1,"午餐",2015-08-06
"21","夹里脊饼",1,"晚餐",2015-07-01
"22","绿豆小米粥",1,"晚餐",2015-07-01
"23","番茄牛肉饭",1,"午餐",2015-06-24
"24","炒莜面烤栳栳",1,"晚餐",2015-06-23
"25","过油肉(套)",1,"晚餐",2015-06-18
"26","香菇油菜(套)",1,"晚餐",2015-06-18
"27","绿豆小米粥",1,"晚餐",2015-06-15
"28","葱爆肉(套)",1,"晚餐",2015-06-15
"29","大米",1,"晚餐",2015-06-15
"30","绿豆小米粥",1,"晚餐",2015-06-12
"31","辣子鸡块(套)",1,"晚餐",2015-06-12
"32","绿豆小米粥",1,"晚餐",2015-06-11
"33","苜蓿肉(套)",1,"午餐",2015-06-10
"34","辣子鸡块(套)",1,"午餐",2015-06-10
"35","绿豆小米粥",1,"晚餐",2015-06-09
"36","尖椒肉丝(套)",1,"晚餐",2015-06-08
"37","酸辣鸭血(套)",1,"晚餐",2015-06-08
"38","大盘鸡面",1,"午餐",2015-06-08
"39","番茄牛肉饭",1,"午餐",2015-06-05
"40","红烧鲶鱼(套)",1,"晚餐",2015-06-04
"41","红烧黄花鱼",1,"午餐",2015-06-04
"42","鱼香肉丝(套)",1,"午餐",2015-06-04
"43","红烧黄花鱼",1,"午餐",2015-06-03
"44","大米(小)",1,"午餐",2015-06-03
"45","大米",1,"午餐",2015-06-03
"46","香辣排骨饭",1,"午餐",2015-06-01
"47","西葫芦炒鸡蛋(套)",1,"晚餐",2015-05-29
"48","辣子鸡块(套)",1,"午餐",2015-05-29
"49","红烧土豆片(套)",1,"午餐",2015-05-29
"50","绿豆小米粥",1,"晚餐",2015-05-28
"51","卤鸡蛋",1,"午餐",2015-05-27
"52","西红柿鸡蛋面",1,"午餐",2015-05-27
"53","绿豆小米粥",1,"晚餐",2015-05-26
"54","辣子鸡块(套)",1,"晚餐",2015-05-26
"55","番茄牛肉饭",1,"午餐",2015-05-26
"56","汉堡",1,"晚餐",2015-05-25
"57","大米(小)",1,"午餐",2015-05-25
"58","香菇肉片(套)",1,"午餐",2015-05-25
"59","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-22
"60","糖醋里脊(套)",1,"午餐",2015-05-22
"61","香辣排骨饭",1,"午餐",2015-05-21
"62","香辣鸡块饭",1,"午餐",2015-05-15
"63","南瓜小米粥",1,"晚餐",2015-05-14
"64","大米(小)",1,"午餐",2015-05-14
"65","宫保鸡丁(套)",1,"午餐",2015-05-14
"66","粉丝菠菜（套）",1,"午餐",2015-05-14
"67","大米(小)",1,"晚餐",2015-05-13
"68","鱼香肉丝(套)",1,"晚餐",2015-05-13
"69","香辣排骨饭",1,"午餐",2015-05-13
"70","京酱肉丝米饭",1,"午餐",2015-05-12
"71","三鲜米线",1,"晚餐",2015-05-08
"72","叉烧肉炒饭",1,"午餐",2015-05-08
"73","热狗面包",1,"晚餐",2015-05-07
"74","西红柿鸡蛋面",1,"晚餐",2015-05-07
"75","番茄牛肉饭",1,"午餐",2015-05-07
"76","【过油肉焖面】",1,"晚餐",2015-05-06
"77","咖喱牛肉饭",1,"午餐",2015-05-06
"78","绿豆小米粥",1,"晚餐",2015-05-05
"79","香菇油菜(套)",1,"晚餐",2015-05-05
"80","大米",1,"晚餐",2015-05-05
"81","麻辣豆腐(套)",1,"晚餐",2015-05-05
"82","绿豆小米粥",1,"晚餐",2015-05-04
"83","绿豆小米粥",1,"晚餐",2015-05-04
"84","红烧土豆片(套)",1,"午餐",2015-05-04
"85","大米(小)",1,"午餐",2015-05-04
"86","红烧鲶鱼(套)",1,"午餐",2015-05-04
"87","菜花炒肉(套)",1,"午餐",2015-04-30
"88","大米(小)",1,"午餐",2015-04-30
"89","过油肉(套)",1,"午餐",2015-04-30
"90","粉丝菠菜（套）",1,"晚餐",2015-04-29
