"","Dine","Share","Type","Date"
"20","糖醋里脊(套)",1,"午餐",2015-05-29
"21","尖椒肉丝(套)",1,"午餐",2015-05-29
"22","大米",1,"午餐",2015-05-29
"23","南瓜小米粥",1,"晚餐",2015-05-20
"24","香辣排骨饭",1,"晚餐",2015-05-20
"25","香辣鸡块饭",1,"晚餐",2015-05-11
"26","蛋挞",2,"晚餐",2015-05-08
"27","西红柿炒鸡蛋(套)",1,"晚餐",2015-05-08
"28","大米",4,"晚餐",2015-05-08
"29","鱼香肉丝(套)",1,"晚餐",2015-05-08
"30","素三丁面",1,"晚餐",2015-05-06
"31","皮蛋瘦肉粥",1,"晚餐",2015-05-05
"32","红枣酸乳",1,"晚餐",2015-05-04
"33","红枣酸乳",1,"晚餐",2015-04-17
"34","红烧牛肉面",1,"午餐",2015-04-17
"35","素三丁面",1,"午餐",2015-04-17
"36","毛毛虫面包",1,"晚餐",2015-04-16
"37","优酸乳(袋)",1,"晚餐",2015-04-15
"38","优酸乳(袋)",1,"晚餐",2015-04-15
"39","炒莜面烤栳栳",1,"晚餐",2015-04-10
"40","优酸乳(袋)",1,"晚餐",2015-04-10
"41","优酸乳(袋)",1,"晚餐",2015-04-07
"42","黑椒猪排饭",1,"晚餐",2015-04-01
"43","叉烧肉炒饭",1,"晚餐",2015-03-24
"44","叉烧肉炒饭",1,"晚餐",2015-02-03
"45","热饮",1,"晚餐",2015-02-03
"46","优酸乳(袋)",2,"晚餐",2015-02-03
"47","叉烧肉炒饭",1,"晚餐",2015-01-20
"48","金典牛奶",1,"晚餐",2015-01-15
"49","素馅饼",1,"晚餐",2015-01-15
"50","宫保鸡丁(套)",1,"午餐",2015-01-06
"51","大米",1,"午餐",2015-01-06
"52","西芹香干(套)",1,"午餐",2015-01-06
"53","红烧牛肉丸(套)",1,"午餐",2014-12-25
"54","尖椒肉丝(套)",1,"午餐",2014-12-25
"55","鱼香鸡蛋（套）",2,"午餐",2014-12-25
"56","怡宝",2,"晚餐",2014-12-23
"57","优酸乳(袋)",1,"晚餐",2014-12-23
"58","叉烧肉炒饭",1,"晚餐",2014-12-09
"59","黄焖鸡面",1,"晚餐",2014-12-09
"60","西红柿鸡蛋面",1,"晚餐",2014-12-09
"61","茄子饼",1,"晚餐",2014-11-28
"62","红烧排骨面",1,"晚餐",2014-11-20
"63","优酸乳(袋)",2,"晚餐",2014-11-18
"64","西芹香干(套)",1,"晚餐",2014-11-18
"65","土豆鸡块(套)",1,"晚餐",2014-11-18
"66","大米",1,"晚餐",2014-11-18
"67","西芹香干(套)",1,"晚餐",2014-11-18
"68","土豆鸡块(套)",1,"晚餐",2014-11-18
"69","大米",1,"晚餐",2014-11-18
"70","烤肠",1,"晚餐",2014-10-11
"71","优酸乳(袋)",1,"晚餐",2014-10-11
"72","卤鸡蛋",1,"晚餐",2014-10-11
"73","酱香三丁面",1,"晚餐",2014-10-11
"74","红烧排骨面",1,"晚餐",2014-10-10
"75","香蕉牛奶",1,"晚餐",2014-10-10
"76","西红柿鸡蛋面",1,"晚餐",2014-10-10
"77","方便面(串)",1,"晚餐",2014-09-30
"78","蟹排(串)",1,"晚餐",2014-09-30
"79","蟹棒(串)",1,"晚餐",2014-09-30
"80","海带节(串)",1,"晚餐",2014-09-30
"81","金针菇(串)",1,"晚餐",2014-09-30
"82","海螺丸(串)",1,"晚餐",2014-09-30
"83","素馅饼",2,"晚餐",2014-09-24
"84","茄子饼",1,"晚餐",2014-09-24
"85","土豆汉堡",1,"晚餐",2014-09-22
"86","皮蛋瘦肉粥",1,"晚餐",2014-09-22
"87","土豆条小酥肉",1,"晚餐",2014-09-19
"88","酱香三丁面",1,"晚餐",2014-09-19
"89","提子干面包",1,"晚餐",2014-09-17
"90","皮蛋瘦肉粥",1,"晚餐",2014-09-17
"91","土豆鸡块(套)",1,"午餐",2014-09-17
"92","红烧茄子(套)",1,"午餐",2014-09-17
"93","大米",1,"午餐",2014-09-17
"94","夹鸡蛋饼",1,"晚餐",2014-09-10
"95","荷叶饼",1,"早餐",2014-09-05
"96","豆浆",1,"早餐",2014-09-05
"97","热饮",1,"晚餐",2014-09-04
"98","皮蛋瘦肉粥",1,"晚餐",2014-09-04
"99","皮蛋瘦肉粥",1,"晚餐",2014-09-04
"100","土豆条炒虾(套)",1,"晚餐",2014-09-04
"101","皮蛋瘦肉粥",1,"晚餐",2014-09-04
"102","素馅饼",1,"晚餐",2014-09-04
"103","土豆条炒虾(套)",1,"晚餐",2014-09-04
"104","大米",1,"晚餐",2014-09-04
"105","土豆条炒虾(套)",1,"晚餐",2014-09-04
"106","大米",1,"晚餐",2014-09-04
