"","Dine","Share","Type","Date"
"20","叉烧肉炒米",1,"晚餐",2015-06-24
"21","皮蛋瘦肉粥",1,"晚餐",2015-06-18
"22","火腿炒米",1,"晚餐",2015-06-18
"23","香菇油菜(套)",1,"晚餐",2015-06-16
"24","番茄牛肉饭",1,"晚餐",2015-06-16
"25","玉米粒(套)",1,"午餐",2015-06-16
"26","叉烧肉炒米",1,"午餐",2015-06-16
"27","葱爆肉(套)",1,"午餐",2015-06-15
"28","豆角肉丝",1,"午餐",2015-06-09
"29","大米(小)",1,"午餐",2015-06-09
"30","糖醋里脊(套)",1,"午餐",2015-06-09
"31","大米",1,"午餐",2015-06-09
"32","提子干面包",1,"晚餐",2015-06-08
"33","汉堡",1,"晚餐",2015-06-08
"34","太钢汽水",1,"晚餐",2015-06-08
"35","番茄牛肉饭",1,"午餐",2015-06-08
"36","鸡肉火腿肠",1,"晚餐",2015-06-05
"37","太钢汽水",1,"晚餐",2015-06-05
"38","炒莜面烤栳栳",1,"晚餐",2015-06-05
"39","大米",1,"午餐",2015-06-05
"40","红烧黄花鱼",1,"午餐",2015-06-05
"41","尖椒肉丝(套)",1,"午餐",2015-06-05
"42","大米",1,"午餐",2015-06-05
"43","太钢汽水",1,"午餐",2015-06-04
"44","红烧黄花鱼",1,"午餐",2015-06-04
"45","土豆丝(套)",1,"午餐",2015-06-04
"46","豆角土豆条(套)",1,"晚餐",2015-06-03
"47","黄焖鸡米饭",1,"晚餐",2015-06-03
"48","西红柿炒鸡蛋(套)",1,"午餐",2015-06-02
"49","腐竹烧肉(套)",1,"午餐",2015-06-02
"50","大米",1,"午餐",2015-06-02
"51","培根面包",1,"晚餐",2015-05-28
"52","花干(串)",1,"午餐",2015-05-28
"53","炒馒头",1,"午餐",2015-05-28
"54","辣子鸡块(套)",1,"午餐",2015-05-27
"55","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-27
"56","大米",1,"午餐",2015-05-27
"57","香菇油菜(套)",1,"午餐",2015-05-26
"58","大米",1,"午餐",2015-05-26
"59","香辣鸡块饭",1,"午餐",2015-05-26
"60","土豆汉堡",1,"午餐",2015-05-25
"61","炒莜面烤栳栳",1,"午餐",2015-05-25
"62","干锅土豆片(套)",1,"午餐",2015-05-22
"63","酸辣茄条(套)",1,"午餐",2015-05-22
"64","大米",1,"午餐",2015-05-22
"65","香辣排骨饭",1,"晚餐",2015-05-21
"66","大米(小)",1,"午餐",2015-05-21
"67","香菇肉片(套)",1,"午餐",2015-05-21
"68","大米",1,"午餐",2015-05-21
"69","粉丝菠菜（套）",1,"午餐",2015-05-21
"70","香辣鸡块饭",1,"晚餐",2015-05-20
"71","辣子鸡块(套)",1,"午餐",2015-05-18
