"","Dine","Share","Type","Date"
"20","大米(小)",1,"午餐",2015-06-19
"21","茴子白炒粉条(套)",1,"午餐",2015-06-19
"22","鱼香肉丝(套)",1,"午餐",2015-06-19
"23","炸酱面",1,"午餐",2015-06-16
"24","宫保鸡丁(套)",1,"午餐",2015-06-09
"25","大米(小)",1,"午餐",2015-06-09
"26","香菇油菜(套)",1,"午餐",2015-06-08
"27","大烩菜(套)",1,"午餐",2015-06-08
"28","大米(小)",1,"午餐",2015-06-04
"29","宫保鸡丁(套)",1,"午餐",2015-06-04
"30","大米(小)",1,"午餐",2015-06-03
"31","豆花肉片(套)",1,"午餐",2015-06-03
"32","西红柿鸡蛋面",1,"午餐",2015-06-02
"33","甜玉米羹",1,"晚餐",2015-06-01
"34","麻辣豆腐(套)",1,"晚餐",2015-06-01
"35","香菇油菜(套)",1,"午餐",2015-06-01
"36","豆角土豆条(套)",1,"午餐",2015-06-01
"37","大米(小)",1,"午餐",2015-05-26
"38","宫保鸡丁(套)",1,"午餐",2015-05-26
"39","炸酱面",1,"午餐",2015-05-25
"40","大米(小)",1,"午餐",2015-05-18
"41","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-18
"42","红烧土豆片(套)",1,"午餐",2015-05-18
"43","鸡丁炒米",1,"午餐",2015-05-14
"44","香辣排骨饭",1,"午餐",2015-05-12
"45","黑椒猪排饭",1,"午餐",2015-05-11
"46","夹鸡蛋饼",1,"晚餐",2015-05-08
"47","凉皮",1,"午餐",2015-05-07
"48","西红柿鸡蛋面",1,"午餐",2015-05-07
"49","热饮",1,"晚餐",2015-05-04
"50","麻辣豆腐(套)",1,"午餐",2015-04-29
"51","大米",1,"午餐",2015-04-29
"52","夹鸡蛋饼",1,"晚餐",2015-04-28
"53","大米(小)",1,"午餐",2015-04-27
"54","鱼香肉丝(套)",1,"午餐",2015-04-27
"55","菜花炒肉(套)",1,"午餐",2015-04-23
"56","大米(小)",1,"午餐",2015-04-23
"57","炸酱面",1,"午餐",2015-04-21
"58","鸡肉火腿肠",1,"午餐",2015-04-20
"59","炸酱面",1,"午餐",2015-04-15
"60","大米(小)",1,"午餐",2015-04-14
"61","土豆鸡块(套)",1,"午餐",2015-04-14
"62","大米(小)",1,"午餐",2015-04-13
"63","麻辣豆腐(套)",1,"午餐",2015-04-13
"64","尖椒肉丝(套)",1,"午餐",2015-04-13
"65","西红柿鸡蛋面",1,"午餐",2015-04-08
"66","莲菜炒肉(套)",1,"午餐",2015-04-07
"67","土豆丝(套)",1,"午餐",2015-04-07
"68","大米(小)",1,"午餐",2015-04-07
"69","大米(小)",1,"午餐",2015-04-01
"70","麻辣豆腐(套)",1,"午餐",2015-04-01
"71","尖椒肉丝(套)",1,"午餐",2015-04-01
"72","大米(小)",1,"午餐",2015-03-31
"73","土豆丝(套)",1,"午餐",2015-03-31
"74","宫保鸡丁(套)",1,"午餐",2015-03-31
