"","Dine","Share","Type","Date"
"20","营养套餐",1,"早餐",2015-08-14
"21","营养套餐",1,"早餐",2015-07-02
"22","营养套餐",1,"早餐",2015-07-01
"23","营养套餐",1,"早餐",2015-06-29
"24","营养套餐",1,"早餐",2015-06-28
"25","营养套餐",1,"早餐",2015-06-27
"26","红烧土豆鸡块面",1,"午餐",2015-06-23
"27","馄饨",1,"早餐",2015-06-16
"28","甜玉米羹",1,"晚餐",2015-06-15
"29","肉包子",1,"早餐",2015-06-15
"30","馄饨",1,"早餐",2015-06-12
"31","肉包子",1,"早餐",2015-06-11
"32","拌汤",1,"早餐",2015-06-11
"33","黄焖鸡块面",1,"午餐",2015-06-10
"34","太钢汽水",1,"午餐",2015-06-09
"35","西红柿炒鸡蛋(套)",1,"午餐",2015-06-09
"36","干锅土豆片(套)",1,"午餐",2015-06-09
"37","大米",1,"午餐",2015-06-09
"38","馄饨",1,"早餐",2015-06-09
"39","馄饨",1,"早餐",2015-06-05
"40","热干面",1,"午餐",2015-06-04
"41","营养套餐",1,"早餐",2015-06-04
"42","蛋挞",1,"午餐",2015-06-02
"43","黄焖鸡块面",1,"午餐",2015-06-02
"44","馄饨",1,"早餐",2015-06-02
"45","绿豆小米粥",1,"晚餐",2015-06-01
"46","夹鸡蛋饼",1,"晚餐",2015-06-01
"47","蛋挞",1,"午餐",2015-05-28
"48","土豆鸡块(套)",1,"午餐",2015-05-28
"49","大米(小)",1,"午餐",2015-05-28
"50","土豆条炒虾(套)",1,"午餐",2015-05-28
"51","馄饨",1,"早餐",2015-05-28
"52","叉烧肉炒饭",1,"午餐",2015-05-27
"53","馄饨",1,"早餐",2015-05-27
"54","肉臊子面",1,"晚餐",2015-05-26
"55","蛋挞",1,"午餐",2015-05-26
"56","热干面",1,"午餐",2015-05-26
"57","馄饨",1,"早餐",2015-05-26
"58","干锅土豆片(套)",1,"午餐",2015-05-22
"59","酸辣茄条(套)",1,"午餐",2015-05-22
"60","大米",1,"午餐",2015-05-22
"61","馄饨",1,"早餐",2015-05-22
"62","香菇油菜(套)",1,"晚餐",2015-05-21
"63","糖醋里脊(套)",1,"晚餐",2015-05-21
"64","大米",1,"晚餐",2015-05-21
"65","馄饨",1,"早餐",2015-05-21
"66","清炒莴笋（套）",1,"晚餐",2015-05-20
"67","大米(小)",1,"晚餐",2015-05-20
"68","鱼香肉丝(套)",1,"晚餐",2015-05-20
"69","大米(小)",1,"午餐",2015-05-18
"70","大烩菜(套)",1,"午餐",2015-05-18
"71","番茄牛肉饭",1,"午餐",2015-05-18
