"","Dine","Share","Type","Date"
"20","咖喱鸡块饭",1,"午餐",2015-08-11
"21","番茄牛肉饭",1,"午餐",2015-08-07
"22","黑椒猪排饭",1,"午餐",2015-08-07
"23","大米(小)",1,"午餐",2015-08-07
"24","葱爆肉(套)",1,"午餐",2015-06-19
"25","土豆鸡块(套)",1,"午餐",2015-06-19
"26","大米",1,"午餐",2015-06-19
"27","炸酱面",1,"午餐",2015-06-12
"28","西芹香干(套)",1,"午餐",2015-06-09
"29","鱼香肉丝(套)",1,"午餐",2015-06-09
"30","大米",1,"午餐",2015-06-09
"31","太钢汽水",2,"午餐",2015-06-01
"32","大米(小)",1,"午餐",2015-06-01
"33","大米",1,"午餐",2015-06-01
"34","辣子鸡块(套)",1,"午餐",2015-06-01
"35","鱼香肉丝(套)",1,"午餐",2015-06-01
"36","大米",1,"午餐",2015-06-01
"37","绿豆汤",1,"午餐",2015-05-29
"38","红烧牛肉面",1,"午餐",2015-05-29
"39","叉烧肉炒饭",1,"午餐",2015-05-27
"40","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-11
"41","土豆鸡块(套)",1,"午餐",2015-05-11
"42","大烩菜(套)",1,"午餐",2015-05-08
"43","糖醋里脊(套)",1,"午餐",2015-05-08
"44","大米",1,"午餐",2015-05-08
"45","蘑菇饼",1,"晚餐",2015-05-07
"46","土豆条炒虾(套)",1,"午餐",2015-04-10
"47","大米",1,"午餐",2015-04-10
"48","玉米粒(套)",1,"午餐",2015-04-10
"49","干锅土豆片(套)",1,"午餐",2015-04-10
"50","大米",1,"午餐",2015-04-10
"51","黑椒猪排饭",1,"晚餐",2015-04-01
"52","夹火腿饼",1,"午餐",2015-04-01
"53","素三丁面",1,"午餐",2015-04-01
"54","黑椒猪排饭",1,"晚餐",2015-03-30
"55","甜玉米羹",1,"晚餐",2015-03-23
"56","甜玉米羹",1,"晚餐",2015-03-23
"57","肉酱面",1,"午餐",2015-03-23
"58","叉烧肉炒饭",1,"晚餐",2015-03-20
"59","蘑菇饼",1,"午餐",2015-03-20
"60","毛血旺面",1,"午餐",2015-03-20
"61","热狗面包",1,"晚餐",2015-03-19
"62","夹土豆条肉丝饼",1,"晚餐",2015-03-16
"63","夹里脊饼",1,"晚餐",2015-03-16
"64","叉烧肉炒饭",1,"午餐",2015-03-16
"65","热饮",1,"午餐",2015-02-05
"66","叉烧肉炒饭",1,"午餐",2015-02-04
"67","热狗面包",1,"晚餐",2015-01-29
"68","热饮",1,"午餐",2015-01-29
"69","250冠益乳",1,"午餐",2015-01-29
"70","三鲜炒米",1,"晚餐",2015-01-27
"71","红烧牛肉面",1,"晚餐",2015-01-08
"72","炸薯条",1,"晚餐",2015-01-08
"73","毛血旺面",1,"晚餐",2015-01-08
"74","红枣酸乳",1,"晚餐",2015-01-05
"75","炸酱面",1,"晚餐",2015-01-05
"76","炸大串",1,"晚餐",2015-01-05
"77","香菇肉片(套)",1,"午餐",2014-12-09
"78","土豆丝(套)",1,"午餐",2014-12-09
"79","夹里脊饼",1,"晚餐",2014-12-01
"80","热饮",2,"午餐",2014-11-26
"81","炸酱面",1,"午餐",2014-11-22
"82","烤肠",1,"午餐",2014-11-21
"83","热饮",1,"午餐",2014-11-21
"84","炸大串",1,"晚餐",2014-11-14
"85","南瓜小米粥",1,"午餐",2014-11-14
"86","夹土豆条肉丝饼",1,"晚餐",2014-11-13
"87","夹肉饼",1,"晚餐",2014-11-13
"88","酱香三丁面",1,"午餐",2014-11-13
"89","怡宝",1,"午餐",2014-11-12
"90","夹火腿饼",1,"晚餐",2014-11-11
"91","南瓜饼",1,"晚餐",2014-11-11
"92","怡宝(小)",1,"晚餐",2014-11-10
"93","南瓜小米粥",1,"晚餐",2014-11-10
"94","茄子饼",1,"晚餐",2014-11-10
"95","南瓜饼",1,"晚餐",2014-11-10
"96","大米",1,"午餐",2014-11-07
"97","土豆鸭胸(套)",1,"午餐",2014-11-07
"98","玉米粒(套)",1,"午餐",2014-11-07
"99","毛毛虫面包",1,"晚餐",2014-11-06
"100","绿茶蛋糕",1,"晚餐",2014-11-06
"101","红烧土豆鸡块面",1,"午餐",2014-11-06
"102","花干(串)",1,"午餐",2014-11-06
"103","肉串",1,"晚餐",2014-11-05
"104","南瓜小米粥",1,"晚餐",2014-11-05
"105","茄子饼",2,"晚餐",2014-11-05
"106","红烧牛肉面",1,"午餐",2014-11-03
"107","热饮",1,"午餐",2014-10-31
"108","炸大串",1,"午餐",2014-10-31
"109","烤肠",1,"午餐",2014-10-30
"110","热饮",1,"晚餐",2014-10-29
"111","鸡肉火腿肠",1,"晚餐",2014-10-29
"112","红枣酸乳",1,"晚餐",2014-10-27
"113","热饮",1,"午餐",2014-10-27
"114","热饮",1,"午餐",2014-10-24
"115","热饮",1,"晚餐",2014-10-22
"116","黑米粥",1,"晚餐",2014-10-22
"117","鸡蛋灌饼",1,"晚餐",2014-10-22
"118","炸大串",1,"午餐",2014-10-16
"119","红烧肉(套)",1,"午餐",2014-10-16
"120","干锅土豆片(套)",1,"午餐",2014-10-16
"121","大米",1,"午餐",2014-10-16
"122","皮蛋瘦肉粥",1,"晚餐",2014-10-15
"123","手抓饼",1,"晚餐",2014-10-15
"124","炸大串",1,"晚餐",2014-10-15
"125","素馅饼",1,"晚餐",2014-10-14
"126","炸大串",1,"晚餐",2014-10-14
"127","南瓜小米粥",1,"晚餐",2014-10-13
"128","夹火腿饼",1,"晚餐",2014-10-13
"129","炸薯条",1,"午餐",2014-10-13
"130","香蕉牛奶",1,"晚餐",2014-10-11
"131","热饮",1,"午餐",2014-10-10
"132","雪菜肉丝面",1,"午餐",2014-10-10
