"","Dine","Share","Type","Date"
"20","西葫芦炒鸡蛋(套)",1,"午餐",2015-05-18
"21","糖醋里脊(套)",1,"午餐",2015-05-18
"22","大米",1,"午餐",2015-05-18
"23","皮蛋瘦肉粥",1,"晚餐",2015-05-13
"24","汉堡",1,"午餐",2015-05-06
"25","牛肉炒米",1,"午餐",2015-05-05
"26","豆角土豆条(套)",1,"午餐",2015-05-04
"27","土豆条炒虾(套)",1,"午餐",2015-05-04
"28","蘑菇饼",1,"晚餐",2015-04-29
"29","豆花肉片(套)",1,"午餐",2015-04-27
"30","土豆鸡块(套)",1,"午餐",2015-04-27
"31","热饮",2,"晚餐",2015-04-23
"32","红烧茄子(套)",1,"午餐",2015-04-23
"33","宫保鸡丁(套)",1,"午餐",2015-04-23
"34","大米",1,"午餐",2015-04-23
"35","肉酱面",1,"午餐",2015-04-20
"36","【牛肉板面】",1,"午餐",2015-04-15
"37","黑米粥",1,"晚餐",2015-04-14
"38","茄子饼",1,"晚餐",2015-04-14
"39","炒馒头",1,"午餐",2015-04-13
"40","黑椒猪排饭",1,"午餐",2015-04-07
"41","烤肠",1,"午餐",2015-03-25
"42","小笼包/肉",1,"午餐",2015-03-25
"43","南瓜小米粥",1,"晚餐",2015-03-24
"44","蘑菇饼",1,"晚餐",2015-03-24
"45","豆花肉片(套)",1,"午餐",2015-03-24
"46","红烧茄子(套)",1,"午餐",2015-03-24
"47","大米",1,"午餐",2015-03-24
"48","夹肉饼",1,"晚餐",2015-03-20
"49","夹土豆条肉丝饼",1,"晚餐",2015-03-19
"50","黑米粥",1,"晚餐",2015-03-19
"51","皮蛋瘦肉粥",1,"晚餐",2015-03-18
"52","茄子饼",1,"晚餐",2015-03-18
"53","鸡肉火腿肠",1,"晚餐",2015-03-16
"54","皮蛋瘦肉粥",1,"晚餐",2015-03-13
"55","蘑菇饼",1,"晚餐",2015-03-13
"56","黑米粥",1,"晚餐",2015-03-12
"57","茄子饼",1,"晚餐",2015-03-12
"58","红烧肉面",1,"午餐",2015-03-11
"59","西红柿鸡蛋面",1,"午餐",2015-03-09
"60","蘑菇饼",1,"晚餐",2015-01-27
"61","南瓜小米粥",1,"晚餐",2015-01-27
"62","肉串",1,"午餐",2015-01-15
"63","牛肉烩饼",1,"晚餐",2015-01-14
"64","酱香三丁面",1,"午餐",2015-01-12
"65","热饮",2,"午餐",2014-12-31
"66","热饮",1,"晚餐",2014-12-25
"67","土豆丝(套)",1,"晚餐",2014-12-25
"68","糖醋里脊(套)",1,"晚餐",2014-12-25
"69","大米",1,"晚餐",2014-12-25
"70","热饮",1,"晚餐",2014-12-24
"71","火腿炒米",1,"晚餐",2014-12-24
"72","土豆丝(套)",1,"午餐",2014-12-09
"73","宫保鸡丁(套)",1,"午餐",2014-12-09
"74","大米",1,"午餐",2014-12-09
"75","鸡肉火腿肠",1,"晚餐",2014-12-08
"76","三鲜火锅面",1,"晚餐",2014-12-08
"77","牛肉炒米",1,"午餐",2014-12-05
"78","鸡丁炒米",1,"午餐",2014-12-05
"79","黑米粥",1,"晚餐",2014-12-04
"80","茄子饼",1,"晚餐",2014-12-04
"81","炸酱面",1,"午餐",2014-12-02
"82","炸大串",1,"午餐",2014-12-02
"83","热饮",1,"晚餐",2014-12-01
"84","鸡蛋灌饼",1,"午餐",2014-11-25
"85","素馅饼",1,"晚餐",2014-11-07
"86","热饮",1,"午餐",2014-11-07
"87","牛肉炒米",1,"午餐",2014-11-07
"88","蘑菇饼",1,"晚餐",2014-11-03
"89","大米(小)",1,"午餐",2014-10-31
"90","香菇肉片(套)",1,"午餐",2014-10-31
"91","麻辣豆腐(套)",1,"午餐",2014-10-31
"92","皮蛋瘦肉粥",1,"晚餐",2014-10-21
"93","素馅饼",1,"晚餐",2014-10-21
"94","夹鸡蛋饼",1,"晚餐",2014-10-21
"95","黑米粥",1,"晚餐",2014-10-14
"96","夹肉饼",1,"晚餐",2014-10-14
"97","黑米粥",1,"晚餐",2014-10-09
"98","茄子饼",1,"晚餐",2014-10-09
"99","热饮",1,"晚餐",2014-10-08
"100","鸡肉火腿肠",1,"晚餐",2014-10-08
"101","热饮",1,"晚餐",2014-09-28
"102","茄子饼",1,"晚餐",2014-09-28
"103","水饺",1,"晚餐",2014-09-28
"104","黄焖鸡面",1,"晚餐",2014-09-28
"105","热饮",1,"午餐",2014-09-19
"106","牛肉炒米",1,"午餐",2014-09-19
"107","鸡肉火腿肠",1,"晚餐",2014-09-18
"108","热饮",1,"晚餐",2014-09-16
"109","汉堡",1,"午餐",2014-09-16
"110","巧克力蛋糕",1,"晚餐",2014-09-15
"111","素馅饼",1,"午餐",2014-09-05
