"","Dine","Share","Type","Date"
"20","黑椒猪排饭",1,"午餐",2015-08-15
"21","咖喱鸡块饭",1,"午餐",2015-08-13
"22","太钢汽水",1,"午餐",2015-06-12
"23","咖喱鸡块饭",1,"午餐",2015-06-12
"24","大米(小)",1,"午餐",2015-06-10
"25","葱爆肉(套)",1,"午餐",2015-06-10
"26","大米",1,"午餐",2015-06-10
"27","绿豆汤",1,"午餐",2015-06-09
"28","红烧土豆鸡块面",1,"午餐",2015-06-09
"29","太钢汽水",1,"午餐",2015-06-08
"30","牛肉炒米",1,"午餐",2015-06-08
"31","黄焖鸡米饭",1,"午餐",2015-06-05
"32","肉包子",1,"晚餐",2015-06-04
"33","大盘鸡面",1,"晚餐",2015-06-04
"34","汉堡",1,"晚餐",2015-06-03
"35","叉烧肉炒饭",1,"午餐",2015-06-03
"36","素打卤面",1,"午餐",2015-06-02
"37","炸酱面",1,"午餐",2015-06-02
"38","黑米粥",1,"晚餐",2015-05-29
"39","素馅饼",1,"晚餐",2015-05-29
"40","黄焖鸡米饭",1,"午餐",2015-05-29
"41","黄焖鸡米饭",1,"午餐",2015-05-28
"42","大米(小)",1,"午餐",2015-05-28
"43","绿豆小米粥",1,"晚餐",2015-05-27
"44","西红柿鸡蛋面",1,"午餐",2015-05-27
"45","叉烧肉炒饭",1,"午餐",2015-05-26
"46","苜蓿肉(套)",1,"午餐",2015-05-25
"47","尖椒肉丝(套)",1,"午餐",2015-05-25
"48","大米",1,"午餐",2015-05-25
"49","大米(小)",1,"午餐",2015-05-22
"50","大米(小)",1,"午餐",2015-05-22
"51","豆角土豆条(套)",1,"午餐",2015-05-22
"52","大烩菜(套)",1,"午餐",2015-05-22
"53","土豆丝(套)",1,"午餐",2015-05-21
"54","宫保鸡丁(套)",1,"午餐",2015-05-21
"55","大米(小)",1,"午餐",2015-05-21
"56","黑椒猪排饭",1,"午餐",2015-05-21
"57","大米(小)",1,"午餐",2015-05-21
"58","炸酱面",1,"晚餐",2015-05-20
"59","冷饮",1,"午餐",2015-05-15
"60","黑米粥",1,"晚餐",2015-05-14
"61","椰蓉饼",1,"晚餐",2015-05-14
"62","冷饮",1,"午餐",2015-05-14
"63","素三丁面",1,"午餐",2015-05-13
"64","冷饮",1,"晚餐",2015-05-12
"65","汉堡",1,"晚餐",2015-05-12
