"","Dine","Share","Type","Date"
"20","豆角土豆条(套)",1,"午餐",2015-06-15
"21","尖椒肉丝(套)",1,"午餐",2015-06-15
"22","番茄牛肉饭",1,"午餐",2015-06-12
"23","营养套餐1",1,"早餐",2015-06-12
"24","拌汤",1,"早餐",2015-06-11
"25","咖喱鸡块饭",1,"午餐",2015-06-10
"26","蒸饺",1,"午餐",2015-06-05
"27","香辣肉酱面",1,"午餐",2015-06-05
"28","肉松面包",1,"早餐",2015-06-05
"29","套餐",1,"早餐",2015-06-04
"30","大米(小)",1,"午餐",2015-06-03
"31","麻辣豆腐(套)",1,"午餐",2015-06-03
"32","糖醋里脊(套)",1,"午餐",2015-06-03
"33","黄焖鸡米饭",1,"午餐",2015-06-02
"34","大烩菜(套)",1,"午餐",2015-06-01
"35","红烧土豆片(套)",1,"午餐",2015-06-01
"36","大米(小)",1,"午餐",2015-06-01
"37","京酱肉丝米饭",1,"午餐",2015-05-22
"38","大米(小)",1,"午餐",2015-05-21
"39","香菇肉片(套)",1,"午餐",2015-05-21
"40","土豆丝(套)",1,"午餐",2015-05-21
"41","套餐",1,"早餐",2015-05-21
"42","大米(小)",1,"午餐",2015-05-18
"43","干锅土豆片(套)",1,"午餐",2015-05-18
"44","腐竹烧肉(套)",1,"午餐",2015-05-18
"45","馄饨",1,"早餐",2015-05-18
"46","香辣排骨饭",2,"午餐",2015-05-14
"47","营养套餐",1,"早餐",2015-05-14
"48","京酱肉丝米饭",1,"午餐",2015-05-13
"49","拌汤",1,"早餐",2015-05-13
"50","《砂锅焖面》",1,"午餐",2015-05-12
"51","红枣酸乳",1,"午餐",2015-05-08
"52","番茄牛肉饭",1,"午餐",2015-05-08
"53","拌汤",1,"早餐",2015-05-08
"54","大米(小)",1,"午餐",2015-05-07
"55","大烩菜(套)",1,"午餐",2015-05-07
"56","土豆丝(套)",1,"午餐",2015-05-07
"57","热狗面包",1,"早餐",2015-05-07
"58","香菇油菜(套)",1,"午餐",2015-05-06
"59","大米(小)",1,"午餐",2015-05-06
"60","豆花肉片(套)",1,"午餐",2015-05-06
"61","拌汤",1,"早餐",2015-05-06
"62","蛋挞",1,"午餐",2015-05-05
"63","咖喱牛肉饭",1,"午餐",2015-05-05
"64","馄饨",1,"早餐",2015-05-05
"65","提子干面包",1,"早餐",2015-05-05
"66","叉烧肉炒饭",1,"午餐",2015-04-30
"67","馄饨",1,"早餐",2015-04-29
"68","大米(小)",1,"午餐",2015-04-28
"69","干锅土豆片(套)",1,"午餐",2015-04-28
"70","家常豆腐(套)",1,"午餐",2015-04-28
"71","培根面包",1,"早餐",2015-04-28
"72","黄焖鸡米饭",1,"午餐",2015-04-27
"73","拌汤",1,"早餐",2015-04-27
"74","拌汤",1,"早餐",2015-04-27
"75","蛋挞",1,"午餐",2015-04-24
"76","大烩菜(套)",1,"午餐",2015-04-24
"77","红烧土豆片(套)",1,"午餐",2015-04-24
"78","大米(小)",1,"午餐",2015-04-24
"79","套餐",1,"早餐",2015-04-24
"80","红枣酸乳",1,"午餐",2015-04-23
"81","炸酱面",1,"午餐",2015-04-23
"82","卤鸡蛋",1,"午餐",2015-04-23
"83","蛋挞",1,"午餐",2015-04-22
"84","黑椒猪排饭",1,"午餐",2015-04-22
"85","肉包子",1,"早餐",2015-04-22
"86","馄饨",1,"早餐",2015-04-22
"87","蛋挞",1,"午餐",2015-04-21
"88","咖喱鸡块饭",1,"午餐",2015-04-21
"89","营养套餐",1,"早餐",2015-04-21
"90","蛋挞",1,"午餐",2015-04-20
"91","黄焖鸡米饭",1,"午餐",2015-04-17
"92","馄饨",1,"早餐",2015-04-17
"93","黄焖鸡面",1,"午餐",2015-04-14
"94","套餐",1,"早餐",2015-04-14
"95","大米(小)",1,"午餐",2015-04-13
