"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","土豆鸡块(套)",2,"午餐",2015-06-25
"14","红烧茄子(套)",2,"午餐",2015-06-25
"15","大米",2,"午餐",2015-06-25
"16","鱼香肉丝(套)",2,"午餐",2015-06-24
"17","大米",2,"午餐",2015-06-24
"18","红烧土豆片(套)",2,"午餐",2015-06-24
"19","土豆鸡块(套)",2,"午餐",2015-06-19
"20","大米",2,"午餐",2015-06-19
"21","豆花肉片(套)",2,"午餐",2015-06-15
"22","豆角土豆条(套)",2,"午餐",2015-06-15
"23","土豆鸡块(套)",2,"午餐",2015-06-10
"24","红烧茄子(套)",2,"午餐",2015-06-10
"25","大米",2,"午餐",2015-06-10
"26","炸酱面",2,"午餐",2015-06-08
"27","炸酱面",2,"午餐",2015-06-05
"28","辣子鸡块(套)",2,"午餐",2015-06-03
"29","红烧土豆片(套)",2,"午餐",2015-06-03
"30","大米",2,"午餐",2015-06-03
"31","苜蓿肉(套)",2,"午餐",2015-06-01
"32","红烧土豆片(套)",2,"午餐",2015-06-01
"33","大米",2,"午餐",2015-06-01
"34","麻辣豆腐(套)",2,"午餐",2015-05-27
"35","红烧土豆片(套)",2,"午餐",2015-05-27
"36","大米(小)",2,"午餐",2015-05-27
"37","热狗面包",2,"晚餐",2015-05-25
"38","红烧土豆片(套)",2,"午餐",2015-05-25
"39","鱼香肉丝(套)",2,"午餐",2015-05-25
"40","大米",2,"午餐",2015-05-25
"41","香辣排骨饭",2,"午餐",2015-05-13
"42","土豆鸡块(套)",2,"午餐",2015-05-12
"43","大米",2,"午餐",2015-05-12
"44","红烧土豆鸡块面",2,"午餐",2015-05-11
"45","汉堡",2,"晚餐",2015-05-08
"46","优酸乳(袋)",2,"晚餐",2015-05-08
"47","炸酱面",2,"午餐",2015-05-08
"48","宫保鸡丁(套)",2,"午餐",2015-05-05
"49","大米",2,"午餐",2015-05-05
"50","【牛肉板面】",2,"午餐",2015-05-04
"51","辣子鸡块(套)",2,"午餐",2015-04-30
