"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","优益C",2,"晚餐",2015-04-17
"14","莫斯利安",2,"晚餐",2015-03-25
"15","炸薯条",2,"晚餐",2015-03-25
"16","巧克力蛋糕",2,"晚餐",2015-03-23
"17","优酸乳(袋)",2,"晚餐",2015-03-16
"18","牛肉烩饼",2,"晚餐",2015-03-16
"19","炸蟹排",2,"午餐",2015-01-07
"20","大米(小)",2,"午餐",2015-01-07
"21","辣子鸡块(套)",2,"午餐",2015-01-07
"22","红烧土豆片(套)",2,"午餐",2015-01-07
"23","优酸乳(袋)",2,"午餐",2015-01-07
"24","莫斯利安",2,"晚餐",2015-01-06
"25","谷物酸奶",2,"晚餐",2014-12-22
"26","优酸乳(袋)",2,"晚餐",2014-12-12
"27","叉烧肉炒饭",2,"晚餐",2014-12-12
"28","黄焖鸡面",2,"午餐",2014-12-09
"29","优酸乳(袋)",2,"午餐",2014-10-13
"30","鸡丁炒米",2,"午餐",2014-10-13
"31","大米",2,"午餐",2014-10-11
"32","香菇油菜(套)",2,"午餐",2014-10-11
"33","宫保鸡丁(套)",2,"午餐",2014-10-11
"34","鸡肉火腿肠",2,"晚餐",2014-09-09
"35","巧克力蛋糕",2,"晚餐",2014-09-09
"36","热饮",2,"晚餐",2014-09-09
