"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","西红柿鸡蛋面",2,"晚餐",2015-06-25
"14","西芹香干(套)",2,"晚餐",2015-06-09
"15","大米",2,"晚餐",2015-06-09
"16","清炒莴笋（套）",2,"晚餐",2015-06-09
"17","西葫芦炒鸡蛋(套)",2,"晚餐",2015-06-08
"18","鱼香肉丝(套)",2,"晚餐",2015-06-08
"19","大米(小)",2,"晚餐",2015-06-03
"20","西红柿炒鸡蛋(套)",2,"晚餐",2015-06-03
"21","手撕包菜(套)",2,"晚餐",2015-06-03
"22","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-29
"23","手撕包菜(套)",2,"晚餐",2015-05-29
"24","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-27
"25","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-26
"26","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-25
"27","夹肉饼",2,"晚餐",2015-05-22
"28","大米(小)",2,"晚餐",2015-05-20
"29","糖醋里脊(套)",2,"晚餐",2015-05-20
"30","大米(小)",2,"晚餐",2015-05-14
"31","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-14
"32","手撕包菜(套)",2,"晚餐",2015-05-14
"33","大米(小)",2,"晚餐",2015-05-14
"34","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-14
"35","手撕包菜(套)",2,"晚餐",2015-05-14
"36","大米(小)",2,"晚餐",2015-05-12
"37","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-12
"38","红烧牛肉丸(套)",2,"晚餐",2015-05-12
"39","大米(小)",2,"晚餐",2015-05-11
"40","香菇肉片(套)",2,"晚餐",2015-05-11
"41","红烧牛肉丸(套)",2,"晚餐",2015-05-08
"42","手撕包菜(套)",2,"晚餐",2015-05-08
"43","大米(小)",2,"晚餐",2015-05-08
"44","豆角肉丝",2,"晚餐",2015-05-07
"45","大米(小)",2,"晚餐",2015-05-07
"46","西红柿炒鸡蛋(套)",2,"晚餐",2015-05-07
