"","Dine","Share","Type","Date"
"133","腐竹烧肉(套)",2,"午餐",2014-10-15
"134","酸辣鸭血(套)",2,"午餐",2014-10-15
"135","豆浆",2,"早餐",2014-10-15
"136","肉包子",2,"早餐",2014-10-15
"137","优酸乳(袋)",2,"晚餐",2014-10-14
"138","烤肠",2,"晚餐",2014-10-14
"139","鸡肉火腿肠",2,"晚餐",2014-10-14
"140","炸酱面",2,"晚餐",2014-10-14
"141","水饺",2,"晚餐",2014-10-14
"142","优酸乳(袋)",2,"午餐",2014-10-14
"143","面筋卷",2,"午餐",2014-10-14
"144","清汤牛肉面",2,"午餐",2014-10-14
"145","营养套餐",2,"早餐",2014-10-14
"146","清汤牛肉面",2,"午餐",2014-10-09
"147","红烧牛肉面",2,"午餐",2014-09-26
"148","清汤牛肉面",2,"午餐",2014-09-26
"149","豆浆",2,"早餐",2014-09-24
"150","肉包子",2,"早餐",2014-09-24
"151","热饮",3,"晚餐",2014-09-22
"152","清汤牛肉面",2,"晚餐",2014-09-22
"153","优酸乳(袋)",2,"午餐",2014-09-19
"154","糖醋里脊(套)",2,"午餐",2014-09-19
"155","红烧土豆片(套)",2,"午餐",2014-09-19
"156","土豆鸡块(套)",2,"午餐",2014-09-19
"157","大米",2,"午餐",2014-09-19
"158","优酸乳(袋)",2,"早餐",2014-09-12
"159","羊肉汤/送花卷",2,"早餐",2014-09-12
"160","大米(小)",2,"晚餐",2014-09-11
"161","香菇肉片(套)",2,"晚餐",2014-09-11
"162","宫保鸡丁(套)",2,"晚餐",2014-09-11
"163","优酸乳(袋)",2,"晚餐",2014-09-05
"164","优酸乳(袋)",2,"午餐",2014-09-05
"165","清汤牛肉面",2,"午餐",2014-09-05
"166","提子干面包",2,"早餐",2014-09-05
"167","优酸乳(袋)",2,"早餐",2014-09-05
"168","优酸乳(袋)",2,"早餐",2014-09-04
"169","鸡蛋灌饼",3,"午餐",2014-09-02
"170","清汤牛肉面",2,"晚餐",2014-09-01
"171","红烧排骨面",2,"晚餐",2014-09-01
"172","红烧牛肉面",2,"晚餐",2014-09-01
"173","夹火腿饼",2,"晚餐",2014-09-01
"174","优酸乳(袋)",2,"晚餐",2014-08-31
"175","热饮",2,"晚餐",2014-08-31
