"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",3,"就餐类型",NA
"13","热狗面包",2,"晚餐",2015-02-04
"14","热饮",2,"晚餐",2015-02-04
"15","汉堡",2,"晚餐",2015-02-04
"16","热饮",2,"晚餐",2015-02-04
"17","热饮",2,"晚餐",2015-01-27
"18","鱼香鸡蛋（套）",2,"午餐",2015-01-20
"19","热狗面包",2,"晚餐",2015-01-19
"20","火腿排包",2,"晚餐",2015-01-13
"21","土豆汉堡",2,"晚餐",2014-12-30
"22","炒馒头",2,"晚餐",2014-12-17
"23","绿豆小米粥",2,"晚餐",2014-12-15
"24","肉香热干面",2,"晚餐",2014-12-10
"25","叉烧肉炒饭",2,"晚餐",2014-12-09
"26","皮蛋瘦肉粥",2,"晚餐",2014-12-04
"27","绿豆小米粥",2,"晚餐",2014-12-04
"28","热饮",2,"晚餐",2014-12-02
"29","手抓饼",2,"晚餐",2014-12-01
"30","披萨饼",2,"晚餐",2014-12-01
"31","皮蛋瘦肉粥",2,"晚餐",2014-12-01
"32","南瓜小米粥",2,"晚餐",2014-11-17
"33","茄子饼",2,"晚餐",2014-11-17
"34","炒馒头",2,"晚餐",2014-11-14
"35","热狗面包",2,"晚餐",2014-11-12
"36","热饮",2,"晚餐",2014-11-12
"37","炒馒头",2,"晚餐",2014-11-11
"38","夹里脊饼",2,"晚餐",2014-11-07
"39","土豆鸡块(套)",2,"午餐",2014-11-05
"40","菜花炒肉(套)",2,"午餐",2014-11-05
"41","大米(小)",2,"午餐",2014-11-05
"42","皮蛋瘦肉粥",2,"晚餐",2014-11-04
"43","披萨饼",2,"晚餐",2014-11-04
"44","大米",2,"午餐",2014-10-29
"45","三鲜娃娃菜(套)",2,"午餐",2014-10-29
"46","腐竹烧肉(套)",2,"午餐",2014-10-29
"47","炒馒头",2,"晚餐",2014-10-27
"48","火腿排包",2,"晚餐",2014-10-23
"49","南瓜小米粥",2,"晚餐",2014-10-21
"50","夹鸡蛋饼",2,"晚餐",2014-10-21
"51","火腿排包",2,"晚餐",2014-10-20
"52","热狗面包",2,"晚餐",2014-10-17
"53","热饮",2,"晚餐",2014-10-17
"54","绿豆小米粥",2,"晚餐",2014-10-16
"55","酱香饼",2,"晚餐",2014-10-16
"56","热狗面包",2,"晚餐",2014-10-14
"57","热饮",2,"晚餐",2014-10-14
"58","绿茶蛋糕",2,"晚餐",2014-10-13
"59","热饮",2,"晚餐",2014-10-13
"60","绿茶蛋糕",2,"晚餐",2014-10-09
"61","热饮",2,"晚餐",2014-10-09
"62","夹鸡蛋饼",2,"晚餐",2014-09-29
"63","皮蛋瘦肉粥",2,"晚餐",2014-09-29
"64","三鲜炒米",2,"晚餐",2014-09-24
"65","花干(串)",2,"晚餐",2014-09-24
"66","夹鸡蛋饼",2,"晚餐",2014-09-22
"67","西红柿鸡蛋面",2,"午餐",2014-09-15
"68","炸大串",2,"晚餐",2014-09-10
"69","夹火腿饼",2,"晚餐",2014-09-10
"70","夹土豆条肉丝饼",2,"晚餐",2014-09-10
"71","皮蛋瘦肉粥",2,"晚餐",2014-09-09
"72","南瓜小米粥",2,"晚餐",2014-09-09
"73","南瓜小米粥",2,"晚餐",2014-09-03
"74","茄子饼",2,"晚餐",2014-09-03
"75","南瓜小米粥",2,"晚餐",2014-09-02
"76","披萨饼",2,"晚餐",2014-09-02
