"","Dine","Share","Type","Date"
"1","拌汤",2,"早餐","2015-06-28"
"2","绿豆小米粥",2,"晚餐","2015-06-24"
"3","肉包子",3,"晚餐","2015-06-24"
"4","土豆鸡块(套)",2,"午餐","2015-06-17"
"5","大米(小)",2,"午餐","2015-06-17"
"6","西葫芦炒鸡蛋(套)",2,"午餐","2015-06-17"
"7","肉包子",2,"晚餐","2015-06-12"
"8","西葫芦炒鸡蛋(套)",2,"午餐","2015-06-12"
"9","西葫芦炒鸡蛋(套)",2,"午餐","2015-06-12"
"10","绿茶蛋糕",2,"早餐","2015-06-12"
"11","红烧牛肉面",2,"午餐","2015-06-11"
"12","土豆鸡块(套)",2,"午餐","2015-06-10"
"13","红烧茄子(套)",2,"午餐","2015-06-10"
"14","拌汤",2,"早餐","2015-06-10"
"15","肉包子",2,"晚餐","2015-06-09"
"16","炸酱面",2,"午餐","2015-06-09"
"17","大米",2,"午餐","2015-06-08"
"18","粉丝菠菜（套）",2,"午餐","2015-06-08"
"19","茴子白炒粉条(套)",2,"午餐","2015-06-08"
"20","清炒莴笋（套）",2,"午餐","2015-06-05"
"21","大米(小)",2,"午餐","2015-06-05"
"22","西红柿炒鸡蛋(套)",2,"午餐","2015-06-05"
"23","麻辣豆腐(套)",2,"晚餐","2015-06-03"
"24","葱爆肉(套)",2,"晚餐","2015-06-03"
"25","炸酱面",2,"午餐","2015-06-03"
"26","炸酱面",2,"午餐","2015-06-03"
"27","优益C",2,"晚餐","2015-06-02"
"28","红烧黄花鱼",2,"晚餐","2015-06-02"
"29","大米(小)",2,"晚餐","2015-06-02"
"30","大米",2,"晚餐","2015-06-02"
"31","西红柿炒鸡蛋(套)",2,"晚餐","2015-06-01"
"32","尖椒肉丝(套)",2,"晚餐","2015-06-01"
"33","太钢汽水",2,"午餐","2015-06-01"
"34","炸酱面",2,"午餐","2015-06-01"
"35","大米(小)",2,"晚餐","2015-05-29"
"36","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-29"
"37","手撕包菜(套)",2,"晚餐","2015-05-29"
"38","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-27"
"39","手撕包菜(套)",2,"晚餐","2015-05-27"
"40","大米",2,"晚餐","2015-05-27"
"41","炸酱面",2,"午餐","2015-05-27"
"42","大米(小)",2,"晚餐","2015-05-26"
"43","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-26"
"44","手撕包菜(套)",2,"晚餐","2015-05-26"
"45","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-25"
"46","尖椒肉丝(套)",2,"晚餐","2015-05-25"
"47","大米(小)",2,"午餐","2015-05-25"
"48","西葫芦炒鸡蛋(套)",2,"午餐","2015-05-25"
"49","土豆鸡块(套)",2,"午餐","2015-05-25"
"50","大米(小)",2,"午餐","2015-05-22"
"51","西葫芦炒鸡蛋(套)",2,"午餐","2015-05-22"
"52","土豆鸡块(套)",2,"午餐","2015-05-22"
"53","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-21"
"54","手撕包菜(套)",2,"晚餐","2015-05-21"
"55","大米(小)",2,"晚餐","2015-05-21"
"56","大米(小)",2,"晚餐","2015-05-20"
"57","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-20"
"58","手撕包菜(套)",2,"晚餐","2015-05-20"
"59","土豆条炒虾(套)",2,"午餐","2015-05-18"
"60","茴子白炒粉条(套)",2,"午餐","2015-05-18"
"61","大烩菜(套)",2,"午餐","2015-05-15"
"62","红烧鲶鱼(套)",2,"午餐","2015-05-15"
"63","大米(小)",2,"晚餐","2015-05-14"
"64","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-14"
"65","手撕包菜(套)",2,"晚餐","2015-05-14"
"66","回锅肉(套)",2,"午餐","2015-05-14"
"67","土豆丝(套)",2,"午餐","2015-05-14"
"68","炸酱面",2,"午餐","2015-05-13"
"69","西红柿鸡蛋面",2,"午餐","2015-05-13"
"70","西红柿炒鸡蛋(套)",2,"晚餐","2015-05-12"
"71","红烧牛肉丸(套)",2,"晚餐","2015-05-12"
"72","大米(小)",2,"晚餐","2015-05-12"
"73","大米(小)",2,"午餐","2015-05-12"
"74","鱼香肉丝(套)",2,"午餐","2015-05-12"
"75","土豆鸡块(套)",2,"午餐","2015-05-12"
